timestamp,user,fullname,text,retweets,replies,likes
2017-06-16T15:01:01,AmitShahArmy,Amit Shah Army,राजनीति के अलावा इन्हें कुछ आता ही कहा है ?pic.twitter.com/Vj1nSTWIYF,0,1,5
2017-06-17T14:08:39,AmitShahArmy,Amit Shah Army,LOL !https://twitter.com/abpnewshindi/status/876071216204791808 …,1,0,6
2017-06-20T07:41:30,AmitShahArmy,Amit Shah Army,Difference : Ram Nath Kovind has Admin experience. Represented India at UNGA. Worked as PS to PM. Comparing him with PP is kinda stupid.https://twitter.com/sardesairajdeep/status/877066520052080641 …,6,1,12
2017-06-20T07:43:06,AmitShahArmy,Amit Shah Army,He is also distinguished lawyer at SC and HC. . What is the background of Pratibha Patil? Nation wants to know @sardesairajdeep,5,2,5
2017-06-20T07:43:33,AmitShahArmy,Amit Shah Army,"Before speaking on behalf of Young India, kindly scratch your before tweeting nonsense",2,1,6
2017-06-22T10:06:37,AmitShahArmy,Amit Shah Army,"Listing Ceremony of India’s Largest MunicipalBond is fr Pune24X7WaterSupply project.Minister Bapat,Arundhati Bhattacharya,Ajay Tyagi present",1,0,3
2017-06-22T10:07:10,AmitShahArmy,Amit Shah Army,I congratulate Pune Municipal Corporation for being the pioneer in fulfilling Hon PM @narendramodi ji's dream of Municipal bonds: CM,1,0,4
2017-06-22T10:07:21,AmitShahArmy,Amit Shah Army,"Today,process of urban transformation has become efficient & in smart mode. Also,we are able to bring transparency in entire processes: CM",0,0,0
2017-06-22T10:07:30,AmitShahArmy,Amit Shah Army,Finance from bond markets will increase the pace of devpt projects. I assure that Maharashtra will always lead in urban administration:CM,0,0,1
2017-06-22T10:07:36,AmitShahArmy,Amit Shah Army,"We are working with many initiatives for Pune,like scientific management of solid waste,Metro,bus transport,24x7water supply and lot more:CM",0,0,1
2017-06-22T10:07:41,AmitShahArmy,Amit Shah Army,We intend to treat every bit through sewage treatment plants.This is the need of the hour to bring sustainability in cities:CM,0,0,1
2017-06-22T10:17:55,AmitShahArmy,Amit Shah Army,:)pic.twitter.com/cX49kWLZ07,2,1,6
2017-06-23T12:05:57,AmitShahArmy,Amit Shah Army,"पवित्र महिना...
अपवित्र काम !

#PatriotAyubLynched",3,3,8
2017-06-23T12:24:19,AmitShahArmy,Amit Shah Army,"जब सोच ही घटिया है,
तो महिना पवित्र हो या साधा !

कार्य तो ये लोग,
घटिया ही करेंगे ! 
#PatriotAyubLynched",0,1,6
2017-06-23T12:32:30,AmitShahArmy,Amit Shah Army,"बहुत ही कन्फ्यूज्ड है ;)
@CMOMaharashtra @Dev_Fadnavispic.twitter.com/H2fnkB2www",0,1,3
2017-06-23T14:09:28,AmitShahArmy,Amit Shah Army,"इधर दिन रात एक करके काम करते हैं, उसमे से टैक्स भरते हैं, और आप लोग पार्टी मन रहे हो ! शर्म नहीं आती ?https://twitter.com/republic/status/878251464509988864 …",5,1,5
2017-06-23T14:10:52,AmitShahArmy,Amit Shah Army,"Lalu Aur Nitish Iftar me hai,,,https://twitter.com/oneindiaHindi/status/878253600106991621 …",5,0,7
2017-06-24T11:29:22,AmitShahArmy,Amit Shah Army,कांग्रेस किसानों के नाम पर राजनीती कर रही थी ! @Dev_Fadnavis जी ने तो बुरी तरह प्रतिघात कर दिया !  @CMOMaharashtra #Devendra4Farmerspic.twitter.com/SJiTQqgkrx,3,0,10
2017-06-24T11:35:05,AmitShahArmy,Amit Shah Army,"कांग्रेस तो अभी भी विरोध करेगी क्योंकि इस क़र्ज़ माफ़ी से उनके बड़े किसान ""वाड्रा"" जी का कोई फायदा होता नहीं दिख रहा है #Devendra4Farmerspic.twitter.com/kKH2gWtW3y",25,1,41
