timestamp,user,fullname,text,retweets,replies,likes
2017-09-21T08:15:33,GitaSKapoor,Gita S. Kapoor,Why no telecast on @TataSky and @Videocond2h ? @smritiirani ji plz see. #INDvAUShttps://twitter.com/DDNational/status/910771190104330240 …,1,4,4
2017-09-21T08:18:18,GitaSKapoor,Gita S. Kapoor,But that's only for cable guys right ?,1,2,0
2017-09-21T08:29:21,GitaSKapoor,Gita S. Kapoor,Ok got it ,0,0,0
2017-09-21T08:40:15,GitaSKapoor,Gita S. Kapoor,If you can't get Arnab on your show then try to  GET back at him on your show to increase TRPs.https://twitter.com/IndiaToday/status/910511025987792896 …,17,4,84
2017-09-21T11:59:41,GitaSKapoor,Gita S. Kapoor,It's not enough killing Hindus/RSS/BJP youth. Now they want to take over the temples. Why not take over other religious institutions ?https://twitter.com/girishalva/status/910801932024922112 …,120,4,54
2017-09-22T04:53:56,GitaSKapoor,Gita S. Kapoor,Govindapic.twitter.com/GwrMnLsTql,8,5,47
2017-09-22T05:10:35,GitaSKapoor,Gita S. Kapoor,"Wishing you the same, dada ",0,0,0
2017-09-22T05:13:20,GitaSKapoor,Gita S. Kapoor,"School staffer tries to rape a 9yr old girl at the Millennium school Panipat.
To keep kids safe we should shut schools, do homeschooling.",12,8,31
2017-09-22T05:21:20,GitaSKapoor,Gita S. Kapoor,"' Mahatma Gandhi
Nehru
Sardar Patel '
Were NRIs according to Rahul Gandhi.
Pappu is NEI- Non Existent Intelligence.",95,18,103
2017-09-22T05:45:22,GitaSKapoor,Gita S. Kapoor,He says 'Hum musalmaan aman shanti se rehte hai' then he says 'India aur hindu' ka naam nishaan mita denge. Kya peaceful log hai https://twitter.com/TajinderBagga/status/911059006826745857 …,44,10,60
2017-09-22T05:46:13,GitaSKapoor,Gita S. Kapoor,,1,0,20
2017-09-22T05:47:44,GitaSKapoor,Gita S. Kapoor,,0,0,2
2017-09-22T05:55:23,GitaSKapoor,Gita S. Kapoor,"' The snake has smelled ' congressis today after pappu NRI comment.
Plz translate",8,6,20
2017-09-22T06:15:24,GitaSKapoor,Gita S. Kapoor,Haanji,0,0,2
2017-09-22T06:16:14,GitaSKapoor,Gita S. Kapoor,,0,0,1
2017-09-22T06:23:47,GitaSKapoor,Gita S. Kapoor,#KnowYourLegacy @INCIndia https://twitter.com/GitaSKapoor/status/911098064160432128 …,8,4,18
2017-09-22T10:35:03,GitaSKapoor,Gita S. Kapoor,"Exactly, where are they ? They tore down hindi sign boards, but are OK with this. #Hypocriteshttps://twitter.com/girishalva/status/910721255308800000 …",15,4,23
2017-09-22T11:50:39,GitaSKapoor,Gita S. Kapoor,"Just to prove a point to HC, I'm sure Aapa will use deviant tactics during Durga Visarjan.",19,4,47
2017-09-22T11:51:26,GitaSKapoor,Gita S. Kapoor,I hope it's on NRI comment of clown prince.,1,0,4
2017-09-22T15:33:28,GitaSKapoor,Gita S. Kapoor,"Jo pehle se hee bik chuke thay, vo fir kya bikenge 
#NDTVSold",11,5,54
2017-09-22T15:59:54,GitaSKapoor,Gita S. Kapoor,"#WhatIsRaGaHiding ? 
Can't be stupidity, that's out in the open after his #NRIComment.",15,4,63
2017-09-22T16:38:51,GitaSKapoor,Gita S. Kapoor,"My Mum studied medicine in U.K 
My Dad came from Peshawar during partition 
According to Pappu logic, both are NRIs
#RahulNRIComment",244,47,634
