timestamp,user,fullname,text,retweets,replies,likes
2017-09-17T02:31:55,GitaSKapoor,Gita S. Kapoor,Jai Sri Sri Radha Gokulanandjipic.twitter.com/6VTcShPQuF,10,2,48
2017-09-17T03:16:29,GitaSKapoor,Gita S. Kapoor,"'Ladh ke liya tha pakistan
Huss ke lenge Hindustan' this is what they said, now it's coming true.Kashmir,Kerala,WB,Bangladeshis,Rohingyas",112,6,75
2017-09-17T03:33:11,GitaSKapoor,Gita S. Kapoor,So sayeth the person who called us 'Cattle class'https://twitter.com/ShashiTharoor/status/908480585168969729 …,11,0,21
2017-09-17T04:40:41,GitaSKapoor,Gita S. Kapoor,"But thanks to Syphi chacha he, nor any #KashmiriPandit can go back and reclaim what was snatched from them.https://twitter.com/rachitseth/status/907214535324340225 …",68,4,25
2017-09-17T04:42:38,GitaSKapoor,Gita S. Kapoor,"Btw, insensitive congi, MMS was a refugee too. https://twitter.com/rachitseth/status/907214535324340225 …",5,1,24
2017-09-17T06:03:01,GitaSKapoor,Gita S. Kapoor,Congi and hard work ?,0,0,0
2017-09-17T06:06:26,GitaSKapoor,Gita S. Kapoor,"After llegal Bangladeshis in Mulund, vashi, khopar khairane, now we face this. @Dev_Fadnavis @Ish_Bhandarihttps://twitter.com/Amma29/status/908999843632209921 …",37,3,30
2017-09-17T06:07:49,GitaSKapoor,Gita S. Kapoor,They get aadhar/ration cards faster than us.,4,0,3
2017-09-17T08:57:15,GitaSKapoor,Gita S. Kapoor,I'm a Bhakt. A Ram Bhakt. But looks like Gori Mata's bhakti didn't bear you fruit so you've become abusive and frustrated.https://twitter.com/ManishTewari/status/909303214104817664 …,178,24,251
2017-09-17T09:04:02,GitaSKapoor,Gita S. Kapoor,Do you know who #SamBahadur was ? Did you attend his funeral ? No. Aata gap bas.https://twitter.com/SitaramYechury/status/909277272036855808 …,93,14,82
2017-09-17T09:07:46,GitaSKapoor,Gita S. Kapoor,"Maharashtra maazhi janmbhoomi aani karmbhoomi aahe, dada.",0,2,5
2017-09-17T09:09:20,GitaSKapoor,Gita S. Kapoor,,0,1,0
2017-09-17T09:11:07,GitaSKapoor,Gita S. Kapoor,Born kapoor brought up in aamchi mumbai ,0,0,0
2017-09-17T11:00:09,GitaSKapoor,Gita S. Kapoor,"Jee nahi Sir, Parents were Indian not foreigners.",0,1,0
2017-09-17T11:07:08,GitaSKapoor,Gita S. Kapoor,None of them came for funeral of #SamBahadur,0,1,2
2017-09-17T11:07:39,GitaSKapoor,Gita S. Kapoor,pic.twitter.com/TTPev79xg2,1,0,1
2017-09-17T11:15:49,GitaSKapoor,Gita S. Kapoor,,0,0,1
2017-09-17T11:29:38,GitaSKapoor,Gita S. Kapoor,This Day That Year. 17th September 5pm #OperationPolo successful. #HyderabadLiberationDaypic.twitter.com/l9Qh386pHW,70,0,29
2017-09-17T11:53:01,GitaSKapoor,Gita S. Kapoor,Halkat is sleeping.,3,0,23
2017-09-17T12:50:29,GitaSKapoor,Gita S. Kapoor,"According to Mr Alimuddin Khan & Congis, the word Ch****a is a dialect used. Should we use our dialects in Marathi, Punjabi etc for them ?",41,19,95
2017-09-17T12:57:14,GitaSKapoor,Gita S. Kapoor,A dialect ? ,0,1,1
2017-09-17T13:01:46,GitaSKapoor,Gita S. Kapoor,"If you don't believe in this tradition, why are you commenting on it ?https://twitter.com/theJagmeetSingh/status/899389605946044416 …",3,8,17
2017-09-17T13:04:53,GitaSKapoor,Gita S. Kapoor,Imagine the funeral scenes by our rudaalis if a BJP leader would've used the word Ch****a instead of Manish & Digvijay.,99,9,83
2017-09-17T13:10:40,GitaSKapoor,Gita S. Kapoor,Statutory warning- @ronnie_sandip you could 'choke' on this newspic.twitter.com/4U1e7TuCkS,73,1,33
2017-09-17T13:16:11,GitaSKapoor,Gita S. Kapoor,"Sir, @prafullaketkar you need to correct @republicpic.twitter.com/Gsh0xLRv47",1,1,4
2017-09-17T13:27:29,GitaSKapoor,Gita S. Kapoor,Eexxx ,0,0,0
2017-09-17T13:28:30,GitaSKapoor,Gita S. Kapoor,Shuru to puttha khabba ae,1,0,1
2017-09-17T13:32:35,GitaSKapoor,Gita S. Kapoor,I think Congis are frustrated. Either they abuse like @ManishTewari @digvijaya_28 or they make fun of refugees like @rachitseth #Shameful,13,3,31
2017-09-17T13:44:12,GitaSKapoor,Gita S. Kapoor,Abusing is not good. Whoever uses foul language should abstain from it.,1,2,3
2017-09-17T15:22:18,GitaSKapoor,Gita S. Kapoor,"Man 1- Tu ne iPhoneX liya Hai ?
Man 2- Nai Jisse baat karni hoti Hai Uber leke uske ghar Chala jata hu, baat kar aata hu sasta padta Hai.!!",15,4,47
