timestamp,user,fullname,text,retweets,replies,likes
2017-09-16T22:34:11,HinduAmericans,Hindu Americans,I still got zero response when I asked last week how can I help donate money to help Hindu refugees from Myanmar who fled to Bangladesh.,14,3,15
2017-09-16T22:35:00,HinduAmericans,Hindu Americans,"If I wanted to help Muslim Rohingyas, I know at least 3 websites based in America I can visit right now & click to donate in just 5 minutes.",4,0,7
2017-09-16T22:35:56,HinduAmericans,Hindu Americans,Great to see!,0,0,1
2017-09-16T22:36:53,HinduAmericans,Hindu Americans,That Indian publication making crude sex toy references for Navratri should be shut down now. File a complaint. Who will take action!?,3,1,3
2017-09-16T22:39:01,HinduAmericans,Hindu Americans,This is the exact same garbage that the head of Twitter India made. Hindus did nothing to protest. So it happens again. We are a sad group.,3,0,3
2017-09-16T22:41:09,HinduAmericans,Hindu Americans,Very serious problem of Khalistanis acquiring political power in Canada. Defense Minister and soon a top politician with viral video.,4,1,7
2017-09-16T22:41:43,HinduAmericans,Hindu Americans,Please go after radical Islamists like you said you would. Crack down on the finance/charity network with Islamists inside the U.S.,0,1,1
2017-09-16T22:42:17,HinduAmericans,Hindu Americans,"Pres. Bush did a good job of cracking down on Muslim Brotherhood networks/charities, which Obama ended. Time to revive this and get serious.",0,3,1
2017-09-16T22:43:08,HinduAmericans,Hindu Americans,The problem is Treasury Sec. Munchin is an idiot. He doesn't care about this important issue. Get someone with counter-terror experience.,0,0,0
2017-09-16T22:43:45,HinduAmericans,Hindu Americans,Frank Gaffney is  an expert on this. He knows well the Muslim Brotherhood networks inside the U.S. Seek his advice and crack down hard.,0,0,0
2017-09-18T02:40:14,HinduAmericans,Hindu Americans,Where are the human rights groups? Does anyone care about the innocent Hindus of Pakistan? Where is the outrage?https://twitter.com/RameshJaipal/status/909383128564736001 …,14,3,12
2017-09-18T02:57:28,HinduAmericans,Hindu Americans,Hinduism is the most pro-environment religion and culture in the world.,27,1,44
2017-09-18T02:59:47,HinduAmericans,Hindu Americans,Rally for Rivers: Campaign aims to create public support for govt policy to revitalise water bodieshttp://www.firstpost.com/india/rally-for-rivers-campaign-aims-to-create-public-support-for-govt-policy-to-revitalise-water-bodies-4049029.html …,3,0,6
2017-09-18T05:12:50,HinduAmericans,Hindu Americans,Anglo Protestants are working together with their Salafi buddies to destroy Asian Buddhists in Myanmar.,12,2,17
2017-09-18T15:40:07,HinduAmericans,Hindu Americans,"China is taking over Nepal, Bhutan, Sri Lanka, using them as bases to control and dominate India.https://twitter.com/Chellaney/status/909784441626566657 …",4,1,7
2017-09-18T19:43:15,HinduAmericans,Hindu Americans,"There is no such thing as a ""Hindu nationalist."" 

This phrase was invented by Anglos to denigrate Hindus, India, and Hinduism.",2,3,10
2017-09-18T19:44:36,HinduAmericans,Hindu Americans,"Hindus don't want ""Hindu nation."" They just want to be treated like anyone else. No looting of Hindu temple. No $ for Rop/RoL schools/mosque",23,7,37
2017-09-18T19:47:48,HinduAmericans,Hindu Americans,"No denigrating of Hinduism, no treating Hindus as second-class citizens by blocking Hindu holidays like in West Bengal.",5,1,10
2017-09-18T19:48:21,HinduAmericans,Hindu Americans,"Just treat Hindus like anyone else. That is all. We're not asking for much. Forget about ""Hindu nation."" We don't even have equal rights!",8,0,14
2017-09-18T19:49:15,HinduAmericans,Hindu Americans,"""nationalist"" is not even a Hindu term. I don't like using it. It's a highly misleading term. It comes out of Europe.https://twitter.com/kkdr611/status/909866652723904512 …",0,1,5
2017-09-18T19:49:46,HinduAmericans,Hindu Americans,Western media and academia is anti-Hindu. Always has. Always will be. Nothing you can do about it. That's the way it is.,3,0,10
2017-09-18T20:39:55,HinduAmericans,Hindu Americans,India's English-speaking elites today are more mentally colonized now than they were even in the late 19th century at peak of British rule.,18,3,30
2017-09-18T20:40:36,HinduAmericans,Hindu Americans,"Even with BJP in power, India is still being run by Western NGOs. BJP simply reacts to whatever the Western/Congress/NGO tells them to do.",6,0,12
2017-09-19T19:46:58,HinduAmericans,Hindu Americans,"If Hindus do not get this billboard ad with Sunny Leone and Navaratri taken down, we are a worthless race of people who deserve to die out.",6,2,10
2017-09-19T19:50:45,HinduAmericans,Hindu Americans,This bastard who heads Twitter India did same sex remark on Navratri. He still leads Twitter because Hindus did nothing to protest.,2,2,5
2017-09-19T19:51:25,HinduAmericans,Hindu Americans,People feel the right to mock and denigrate Hindus. No words to describe how outrageous this billboard is. File legal cases and prosecute.,2,1,3
2017-09-19T20:34:07,HinduAmericans,Hindu Americans,Prayers for the people of Mexico City.,3,1,10
2017-09-19T23:00:57,HinduAmericans,Hindu Americans,Thoughts with the people of Mexico.,0,0,0
2017-09-19T23:01:58,HinduAmericans,Hindu Americans,"Hindus need to set up a legal center to file cases anytime Hinduism is attacked, which violates laws against religious hate and communalism.",0,0,2
2017-09-19T23:18:48,HinduAmericans,Hindu Americans,"West only respects strength. Erdogan is literaly a fascist, but West loves him,never criticizes. You don't see human-rights group attack him",14,1,17
2017-09-19T23:24:08,HinduAmericans,Hindu Americans,"Erdogan is jailing thousands of peaceful political opponents, firing tens of thousands of teachers, journalists, no one cares at all.",5,1,6
2017-09-20T00:02:21,HinduAmericans,Hindu Americans,Anglo Protestants and Arab Salafis are working together to destroy dharmic civilization.,4,1,6
2017-09-20T00:03:15,HinduAmericans,Hindu Americans,"India does nothing even near what Erdogan is doing, and yet, 24/7, human rights groups are always bashing India, while ignoring Turkey.",6,1,8
2017-09-20T05:11:48,HinduAmericans,Hindu Americans,"No one cares about KPs because they are peaceful people who love India. For Indian govt. to care, you have to hate India and be violent.",0,0,2
2017-09-20T05:13:59,HinduAmericans,Hindu Americans,But India doesn't even have equal rights for Hindus! Why not at least try to get that first. Rest will take care of itself.https://twitter.com/varanasisarma/status/910338479602700289 …,1,2,6
2017-09-20T12:45:08,HinduAmericans,Hindu Americans,You are a total moron whose party has destroyed India. Shut your stupid mouth and go back to corrupt Mafia Italy.,0,1,2
2017-09-20T12:50:10,HinduAmericans,Hindu Americans,Why does Indian media keep on highlighting every dumb thing @OfficeOfRG says while in US? Because they are both slaves to Western NGOs.,2,1,7
2017-09-20T12:50:44,HinduAmericans,Hindu Americans,India's English-language media keeps on hyping up @OfficeOfRG because he is the spokesman for Western NGOs.,1,0,6
2017-09-20T12:51:30,HinduAmericans,Hindu Americans,These Western NGOs have done more damage to India than even radical Islamists. Throw them out.,8,3,11
