timestamp,user,fullname,text,retweets,replies,likes
2017-09-16T19:50:46,SaurabhJNU,Saurabh Sharma,http://fb.me/1B6N3FHlp ,1,0,4
2017-09-17T13:56:00,SaurabhJNU,Saurabh Sharma,"We are ready for GSCASH election with greater resolve to defeat left rapist outfits in JNU.
Rapist gangs! Are you ready? 
#GenderJustice",2,0,15
2017-09-17T13:58:00,SaurabhJNU,Saurabh Sharma,@mamidala90 @rpsingh_jnu @registrarjnu @chintamani36 @umeshkadam280 @MilapJNU @NavbharatTimes @suahsh @the_hindu @htTweets @JagranNewshttps://twitter.com/SaurabhJNU/status/909415646441566208 …,0,0,0
2017-09-17T14:02:28,SaurabhJNU,Saurabh Sharma,2015 में आखरी बार GSCASH का चुनाव हुआ और उसमें Arshad Alam और Anmol Ratan को shield करने के सिवा कुछ नहीं हुआ। अब इतनी जल्दी क्यों? 1/2,7,2,30
2017-09-17T14:09:18,SaurabhJNU,Saurabh Sharma,इससे पहले weekend पर voter list ज़ारी करने जैसे आनन फानन में EC ने शायद ही काम किया हो।कहीं फिर किसी rapist को बचाने की कोशिश तो नहीं। 2/2pic.twitter.com/ZlEVK3DSgI,5,0,13
2017-09-18T17:17:16,SaurabhJNU,Saurabh Sharma,http://fb.me/2d6lKwHDF ,0,0,5
2017-09-19T17:45:56,SaurabhJNU,Saurabh Sharma,Shame! http://fb.me/1gZug8dLU ,1,1,4
2017-09-21T04:29:22,SaurabhJNU,Saurabh Sharma,"या देवी सर्वभूतेषु शक्ति-रूपेण संस्थिता। नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥
JNU की नवरात्र पूजा में आप सभी का स्वागत है।#Happynavratripic.twitter.com/WO7G4D9Sk9",11,3,52
2017-09-22T06:19:19,SaurabhJNU,Saurabh Sharma,"ISIS जब लोगों को मार रहा है तब भारत का कोई भी मुसलमान नही बोला। आज 
रोहिंग्या मुसलमानों के लिए हमदर्दी है।
साहेब दंगा का विचार तो नहीं?",19,1,54
2017-09-23T05:34:19,SaurabhJNU,Saurabh Sharma,कल के EUGBM जिसका एक मात्र लक्ष्य है GSCASH को यथास्थिति बनाये रखना उसके बाद JNUSU को ICC चुनाव के बहिष्कार का आह्वान करना चाहिए। @ANIpic.twitter.com/haZSWMjA6T,4,0,9
2017-09-23T05:49:44,SaurabhJNU,Saurabh Sharma,"ICC चुनाव 2017-18 में यह साफ हो जाएगा कि वामपंथी JNU के EUGBM के प्रति कितने गंभीर है?क्या फिर छात्र समुदाय को बेवकूफ बनाया जाएगा?
इंतजार.pic.twitter.com/TJxMSlRiQR",4,1,12
2017-09-23T06:45:28,SaurabhJNU,Saurabh Sharma,http://fb.me/O5j4op75 ,0,0,3
2017-09-23T07:57:01,SaurabhJNU,Saurabh Sharma,http://fb.me/1pAWM8yzV ,1,0,5
2017-09-24T18:49:53,SaurabhJNU,Saurabh Sharma,"Please join ABVP will protest at HRD ministry tomorrow to demand justice for BHU girls, formation of fact finding... http://fb.me/GBQNHUaN ",9,2,41
2017-09-24T20:06:53,SaurabhJNU,Saurabh Sharma,ऐसे हथकंडे लोग JNU से सीख के जाते है। ये JNU के देशद्रोही काम-रेड होंगे। http://fb.me/3R3JIyDp7 ,4,1,15
2017-09-25T07:51:11,SaurabhJNU,Saurabh Sharma,"BHU प्रशासन के गैर-जिम्मेदाराना हरकतों को हम नहीं सहेंगे।लाठीचार्ज नही बल्कि छात्राओं की सुरक्षा के लिए कड़े कदम उठाए। 
#ABVP_Protest@HRD",4,0,16
2017-09-25T07:58:04,SaurabhJNU,Saurabh Sharma,"#ABVP_BHU छात्राओं की सुरक्षा को लेकर हमेशा BHU प्रशासन से माँग की है लेकिन प्रशासन मौन ही रह है।
#नारी_सुरक्षा_राष्ट्र_सुरक्षा",8,0,30
2017-09-25T08:27:09,SaurabhJNU,Saurabh Sharma,"@ABVPVoice @HRDMinistry से माँग करती है कि BHU मामले में जल्द से जल्द fact finding committee बनायें। 
संघर्ष जारी है...
#ABVPProtest@MHRDpic.twitter.com/yWYJhkGP7n",2,0,5
2017-09-25T09:52:35,SaurabhJNU,Saurabh Sharma,"हिन्दू ह्रदय सम्राट पंडित दीनदयाल उपाध्याय जी की जयंती पर उनके उच्च विचार और अनुसरणीय जीवन शैली को मेरा शत शत नमन।
#हिन्दुराष्ट्र",3,0,21
2017-09-25T11:26:10,SaurabhJNU,Saurabh Sharma,http://www.amarujala.com/delhi-ncr/abvp-workers-protest-outside-shastri-bhawan-against-bhu-clash-being-forcefully-evicted-by-police …,15,2,38
