timestamp,user,fullname,text,retweets,replies,likes
2017-01-24T17:14:36,Shreeharib1,Shreehari Borikar,http://fb.me/5Blwmr8ju ,0,0,3
2017-01-24T17:14:56,Shreeharib1,Shreehari Borikar,http://fb.me/1OiRCXfDs ,0,0,1
2017-01-25T10:01:54,Shreeharib1,Shreehari Borikar,Photo of the day. Be a Nature friend like this. ( SAVE TREE - SAVE NATURE )pic.twitter.com/45zX9ptROv,3,0,12
2017-01-30T19:57:24,Shreeharib1,Shreehari Borikar,2 days workshop on University Working with representatives of 6 universities of Maharashtra prant at Sanbhajinagar .pic.twitter.com/RLVAYw4vqj,7,0,44
2017-02-01T08:20:27,Shreeharib1,Shreehari Borikar,Kalpana Chawla was an Indo-American astronaut and the first woman of Indian origin in space.She first flew on Space Shuttle Columbia in 1997pic.twitter.com/1NBDrzm6wr,4,0,6
2017-02-01T08:21:17,Shreeharib1,Shreehari Borikar,pic.twitter.com/a3ZYGNassf,6,0,13
2017-02-01T08:25:13,Shreeharib1,Shreehari Borikar,pic.twitter.com/klF1ZesULh,6,0,13
2017-02-01T11:53:30,Shreeharib1,Shreehari Borikar,A perfect budget after Demonetisation. Congratulations to @arunjaitley @PMOIndia @ABVPVoicepic.twitter.com/9EDKiEi04Z,11,0,29
2017-02-01T12:09:38,Shreeharib1,Shreehari Borikar,"राहुल बाबा आपके लिए हिंदी में एक कहावत है । "" बंदर क्या जाने अदरक का स्वाद """,2,0,7
2017-02-03T06:16:35,Shreeharib1,Shreehari Borikar,http://fb.me/1UIzCzA5u ,1,0,12
2017-02-03T10:35:40,Shreeharib1,Shreehari Borikar,http://fb.me/3sWqQghMc ,0,0,6
2017-02-05T20:29:36,Shreeharib1,Shreehari Borikar,"भारत से पंगा मत लो , शांती से रहो नहीं तो एक दिन तुम्हारे लिए हमको "" ओम् शांती- शांती - शांती "" बोलना पड़ेगा ।http://fb.me/3t4Mv2WoY ",10,0,32
2017-02-05T20:58:09,Shreeharib1,Shreehari Borikar,#StatePolls You are failed Mr.Rawat to fulfill the expectations of people of Uttarakhand. No hope from U & ur Party. Get Lost,3,0,9
2017-02-10T08:09:28,Shreeharib1,Shreehari Borikar,"इन दो मासूम लड़कियों के लटकती लाशों का ज़िम्मेदार कौन।@yadavakhilesh आपके के CM रहते बदायूँ की घटना को अंजाम दिया गया, जवाब दो ??@ABVPVoicepic.twitter.com/9dGHUmva0W",18,1,37
2017-02-11T05:58:14,Shreeharib1,Shreehari Borikar,@SEIL-2017 Sri Niwasji & Sri Nirav Ghelani during Orientation Camp at Guwahati. @ABVPVoice @SunilAmbekarM @shriniwas_hrpic.twitter.com/k8p3rTVM1V,1,0,7
2017-02-11T11:12:56,Shreeharib1,Shreehari Borikar,"."" भारतीय राष्ट्रवाद का आधार यह संस्कृति है . इस संस्कृतिमें निष्ठा रहे तभी भारत एकात्म रहेगा .” स्व.पं. दीनदयाल उपाध्याय जी को शत शत नमन.pic.twitter.com/ALhu9bnnHe",19,1,66
2017-02-13T02:51:29,Shreeharib1,Shreehari Borikar,http://fb.me/3eRB8umTU ,0,0,7
2017-02-13T02:51:30,Shreeharib1,Shreehari Borikar,http://fb.me/1X7by95vy ,0,0,11
2017-02-14T12:56:23,Shreeharib1,Shreehari Borikar,http://fb.me/1bA4EJCUO ,4,0,8
2017-02-15T10:42:46,Shreeharib1,Shreehari Borikar,"""मेरा देश बदल रहा है -अंतरिक्ष में भी आगे बढ़ रहा है"" #CongratsISRO (भा.अं.अनु.संगठन) ने 104 उपग्रहों को प्रक्षेपित कर बड़ा इतिहास रचा हैpic.twitter.com/cm8LH9nA5M",9,0,44
2017-02-16T08:58:54,Shreeharib1,Shreehari Borikar,"Today I visited at biggest ethnic festival of NE "" Karbi Youth Festival "" at Diphu. ABVP starts "" INTEGRITY EXHIBITION "" @ABVPVoice #KYF2017pic.twitter.com/8EG0JQYMnU",13,1,46
2017-02-16T13:30:00,Shreeharib1,Shreehari Borikar,राष्ट्रगान पर खड़े रहना हमारा कर्तव्य है . Standing for Rastragaan in theatre this is our moral duty towards our Nation .,0,0,5
2017-02-17T16:17:47,Shreeharib1,Shreehari Borikar,#SEIL2017 group no 1 at Silchar.pic.twitter.com/Is3Bu9OPzY,14,0,63
2017-02-18T13:33:09,Shreeharib1,Shreehari Borikar,http://fb.me/8KTD88Xkv ,1,0,7
