timestamp,user,fullname,text,retweets,replies,likes
2017-09-17T01:24:58,VijayGoelBJP,Vijay Goel,"जिनसे प्रेरणा मिलती है उनका जन्मदिन मनाने में आनंद आता है, और PM @narendramodi जी तो पूरे देश के प्रेरणास्रोत हैं । 1/2pic.twitter.com/RYUCFYVfhU",46,12,301
2017-09-17T01:27:39,VijayGoelBJP,Vijay Goel,ईश्वर से मोदी जी के अच्छे स्वास्थ्य एवं दीर्घायु की मंगलकामना करता हूँ और आशा है उनके ऊर्जावान नेतृत्व में देश विश्व गुरु जल्द बनेगा।  2/2pic.twitter.com/ExP6oxtPgQ,67,20,264
2017-09-17T01:45:57,VijayGoelBJP,Vijay Goel,https://twitter.com/yaserjilani/status/909115485223923712 …,8,0,5
2017-09-17T04:17:35,VijayGoelBJP,Vijay Goel,Wishing @Pvsindhu1 all the very best for the #KoreaSS final!pic.twitter.com/KmJZwbBdCT,47,6,464
2017-09-17T04:54:17,VijayGoelBJP,Vijay Goel,आज जामा मस्जिद #SwachhataHiSeva अभियान में मुस्लिम बहनों/बंधुओं के संग हिस्सा लूंगा। आप भी जुड़ें और #SwachhBharatMission में भागीदार बनेंpic.twitter.com/iOnzUDyBJ4,18,6,76
2017-09-17T06:11:31,VijayGoelBJP,Vijay Goel,"पीएम मोदी जी के जन्मदिवस को #SewaDiwas के रूप में मनाया, दिल्ली के नेहरू बस्ती में नेत्र जाँच शिविर लगवाया गया और वहां चश्मे भी वितरण कियेpic.twitter.com/7l3eJE62E1",8,5,56
2017-09-17T06:15:23,VijayGoelBJP,Vijay Goel,दिल्ली के स्लम में #SewaDiwas के दौरान युवाओं के साथpic.twitter.com/JXlzptfQTK,15,2,85
2017-09-17T07:21:22,VijayGoelBJP,Vijay Goel,".@Pvsindhu1 becomes 1st #Indian  to win #KoreaSS 

She beats Okuhara 22-20, 11-21, 21-18 to claim WS crown. Incredible!pic.twitter.com/658gz3rkjN",115,12,695
2017-09-17T07:24:48,VijayGoelBJP,Vijay Goel,Cheers for P. Gopichand - the new age Dronacharya :) https://twitter.com/VijayGoelBJP/status/909316330465013760 …,32,5,141
2017-09-17T11:01:07,VijayGoelBJP,Vijay Goel,आज दिल्ली के जामा मस्जिद इलाके में #SewaDiwas के मौके पर मुस्लिम बंधुओं और स्थानीय वासियों के संग #SwachhataHiSeva अभियान में हिस्सा लिया।pic.twitter.com/U5QQ2K3DkQ,65,27,306
2017-09-17T16:17:38,VijayGoelBJP,Vijay Goel,"कांग्रेस की राजनीति का स्तर कितना नीचे गिर गया है यह उनके नेताओं के बयानों से पता चलता है। पर कांग्रेस की ""Top Leadership"" चुप क्यों है?",151,83,627
2017-09-18T03:16:26,VijayGoelBJP,Vijay Goel,"Cycling is healthy, fun & a low-impact form of exercise for all; helps combat 
heart disease, few cancers,obesity & more. #MondayMotivationpic.twitter.com/abxR8UETLM",79,38,537
2017-09-18T05:36:43,VijayGoelBJP,Vijay Goel,You call this selfie?,1,2,3
2017-09-18T13:08:52,VijayGoelBJP,Vijay Goel,स्वच्छता ईश्वरता के समान है! कल दिल्ली के जामा मस्जिद क्षेत्र में पीएम @narendramodi जी के जन्मदिन #SewaDiwas पर #SwachhataHiSewa अभियानpic.twitter.com/5g9JfZNNV6,34,10,144
2017-09-18T15:07:52,VijayGoelBJP,Vijay Goel,"As MoS Parliamentary Affairs, called on Hon'ble Vice President @MVenkaiahNaidu ji (also Chairman,Rajya Sabha); discussed various key issues.pic.twitter.com/8TnIfJMDnA",93,5,123
2017-09-18T15:54:56,VijayGoelBJP,Vijay Goel,"प्रधानमंत्री श्री @narendramodi जी की #MannKiBaat के लिए भेजें अपने विचार एवं सुझाव

http://nm-4.com/ole5  via NMApppic.twitter.com/zvEidmfDel",19,10,75
2017-09-18T17:05:07,VijayGoelBJP,Vijay Goel,Next economic power! Indian workers to make 'more than 50%' of increase in Asian workforce next decade - Report https://www.rt.com/document/59bf8361fc7e93281c8b4567/amp/403674-india-china-superpower-engine …,23,2,85
2017-09-18T17:24:39,VijayGoelBJP,Vijay Goel,Heartiest birthday greetings to @P9Ashwini ! Keep shining and inspiring the youngsters. Best wishes pic.twitter.com/DXCI0zqoQV,26,4,165
2017-09-18T17:49:24,VijayGoelBJP,Vijay Goel,"Visit me every morning, you will get to know if it's photo op or actual",0,0,0
2017-09-18T17:51:16,VijayGoelBJP,Vijay Goel,Jogging too,0,1,1
2017-09-18T17:52:17,VijayGoelBJP,Vijay Goel,Wo to tweet se pata chal raha hai tumhare,0,0,1
2017-09-19T02:25:10,VijayGoelBJP,Vijay Goel,"महालया अर्थात माँ दुर्गा का आवाहन पूजन, इस पावन पर्व पर सभी के लिए मंगलकामना। Greetings of #Mahalaya to our Bengali brothers & sisters.pic.twitter.com/NtLBf11qck",69,10,328
2017-09-19T10:30:03,VijayGoelBJP,Vijay Goel,Great game @pranaav6 & @sikkireddy ! Best wishes for the next one.https://twitter.com/BAI_Media/status/910088394553921536 …,18,4,65
2017-09-19T12:28:56,VijayGoelBJP,Vijay Goel,कल डिब्रुगढ़ में युवा मित्रों के लिए #NewIndia पर चित्रकला प्रदर्शनी एवं संगोष्ठी का उद्घाटन करूँगा। Unique way to boost #SankalpSeSiddhi.pic.twitter.com/HI23LpJjz1,137,13,140
2017-09-19T13:27:24,VijayGoelBJP,Vijay Goel,"On-field or off-field, @YUVSTRONG12 is a warrior. Keep rocking Sher-e-Punjab!https://twitter.com/ICC/status/909975349945032705 …",0,0,0
2017-09-19T14:28:58,VijayGoelBJP,Vijay Goel,आज माननीय अटल जी के दर्शन किये जिससे मुझे बड़ा बल मिला। मेरा सौभाग्य रहा कि उनके साथ काम करने का मौका मिला और जीवन में उनसे बहुत कुछ सीखा।pic.twitter.com/v9N9A3Wbxs,166,42,690
2017-09-19T15:25:53,VijayGoelBJP,Vijay Goel,Indeed. Can't express in words,4,3,16
2017-09-20T02:48:00,VijayGoelBJP,Vijay Goel,Will inaugurate #NewIndia Photo Exhibition & Seminar at the Dibrugarh University in Assam today. #SankalpSeSiddhipic.twitter.com/DuA8McjGWN,30,11,125
2017-09-20T09:37:20,VijayGoelBJP,Vijay Goel,Keep going champ! Cheers!,0,0,10
2017-09-20T11:18:55,VijayGoelBJP,Vijay Goel,Delighted to be here at the Dibrugarh University welcomed by Vice Chancellor Alak Buragohain ji; looking forward to the #NewIndia Seminar.pic.twitter.com/RgIp399hgk,17,0,66
2017-09-20T12:40:23,VijayGoelBJP,Vijay Goel,"हम मिलकर संकल्प करते हैं..We pledge to uproot corruption, poverty, filth, communalism, casteism & terrorism from #India. #SankalpSeSiddhipic.twitter.com/B6aMEBC026",32,7,128
2017-09-20T13:14:19,VijayGoelBJP,Vijay Goel,@danielocarmon Greetings רֹאשׁ הַשָּׁנָה,3,4,14
2017-09-20T14:21:22,VijayGoelBJP,Vijay Goel,#India has a glorious history & now we aim for a golden future- #NewIndia with mantra of #SankalpSeSiddhi. Glimpses from Naya Bharat seminarpic.twitter.com/BQiAVey49A,30,5,98
2017-09-21T03:49:23,VijayGoelBJP,Vijay Goel,महाराजा अग्रसेन जयंती की हार्दिक शुभकामनाएं।pic.twitter.com/Z9vslfYr2A,37,6,133
2017-09-21T04:08:00,VijayGoelBJP,Vijay Goel,"नवरात्री के पावन पर्व पर आप सभी को शुभकामनाएं। माता रानी आप सबको सुख, शांति और समृद्धि प्रदान करे। #HappyNavratri to one and all!pic.twitter.com/rx8ADrJd4j",74,39,384
2017-09-21T06:01:54,VijayGoelBJP,Vijay Goel,"प्रधानमंत्री श्री @narendramodi जी शुक्रवार को वाराणसी-वडोदरा महामना एक्सप्रेस को हरी झंडी दिखाएंगे

http://economictimes.indiatimes.com/articleshow/60757674.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst …

via NMApppic.twitter.com/znDqkWyKi1",27,7,135
2017-09-21T07:20:49,VijayGoelBJP,Vijay Goel,"आज डिब्रुगढ़, असम में भगवान श्री जगन्नाथ देव जी के दर्शन करने का परम सौभाग्य प्राप्त हुआ। सभी की सुख एवं शांति हेतु प्रार्थना की।pic.twitter.com/VD0qu2jG7w",33,7,188
2017-09-21T13:12:30,VijayGoelBJP,Vijay Goel,Best wishes!,1,1,7
2017-09-22T05:54:49,VijayGoelBJP,Vijay Goel,Great going @Pvsindhu1 ! The nation is behind you with loads of support. Keep shining!https://twitter.com/ddsportschannel/status/911095831154925568 …,31,2,150
