timestamp,user,fullname,text,retweets,replies,likes
2017-09-16T18:36:19,aadikamle,Aadi,माननीय @narendramodi जी देश के प्रधानमंत्री को जन्मदिवस की हार्दिक शुभकामनाएं भगवान का आशिर्वाद सदैव बना रहे,13,1,22
2017-09-19T15:11:42,aadikamle,Aadi,Congratulations Puneet @iSharmaPuneet bhaiya for getting HP BJP IT Cell responsibility,8,0,7
2017-09-22T04:21:54,aadikamle,Aadi,@sardanarohit many many happy returns Of the Day Sir pic.twitter.com/OsMYpF4Quy,0,0,0
2017-09-23T18:01:44,aadikamle,Aadi,देवी की तुलना डायनो के साथ नहीं की जा सकतीं,6,0,27
2017-09-23T18:53:40,aadikamle,Aadi,@TajinderBagga many many happy returns Of the Daypic.twitter.com/mmKnfbJD1A,2,0,3
2017-09-24T09:21:47,aadikamle,Aadi,"IIT,IIM के साथ कांग्रेस ने आरक्षण भी दिया हैं जिसमें काबिलीयत नहीं जाति मायने रखती हैं इसलिए आज का पढ़ा लिखा युवा अभी भी बेरोजगार हैंhttps://twitter.com/OfficeOfRG/status/911785359985360896 …",190,11,173
2017-09-24T18:27:50,aadikamle,Aadi,सरकार भी मंहगाई को कौस के बनाई हैं अच्छे दिन आएंगे ,0,1,2
2017-09-25T15:20:49,aadikamle,Aadi,किस मुंह से इस सरकार को हिन्दूओ की सरकार कह सकते हो ?? कमलेष तिवारी अभी भी जेल में हैं और हिन्दू देवता को गाली देने वाले आजाद @narendramodipic.twitter.com/5uIinJzfzP,94,6,67
2017-09-25T17:56:16,aadikamle,Aadi,अगर यह दोनों भड़वे मुल्ले एक बाप की औलाद हैं और भारत को असहिष्णु मानते हैं तो जाकर रोहिंग्या मुल्लो को बोले यहां मत आना यहां असहिष्णुता हैंpic.twitter.com/7FCoB0kLtp,150,20,170
2017-09-26T02:59:26,aadikamle,Aadi,@viveklkw Many Many Happy Returns Of The Day Bhaiya. God Bless You pic.twitter.com/QevcQqY1Pd,1,0,1
