timestamp,user,fullname,text,retweets,replies,likes
2017-09-06T09:17:24,atharv1684,Vicky Sharma,Road Side dog barking behind wall u dnt hv dare too talk...,2,1,2
2017-09-06T10:55:17,atharv1684,Vicky Sharma,Rajneeti,0,0,0
2017-09-06T12:16:28,atharv1684,Vicky Sharma,"देश की राजनीति बाद में करियेगा, पहले बंगाल संभालिये ममता मैडम!और कितनो को बंगाल आने से रोकेंगे कल कही आपको लोग भारत में रहने से ना रोक देpic.twitter.com/A3U8MzR0XQ",25,1,10
2017-09-06T12:56:20,atharv1684,Vicky Sharma,"जो मजिंलो को पाने की चाहत रखते,वो समंदरो पर भी पथरो के पुल बना देते है| #GauriLankesh #MAGA #RallyForKaveri #PressClub #InjusticeContinuedpic.twitter.com/Tv8Y1ve3yi",100,0,27
2017-09-06T13:28:24,atharv1684,Vicky Sharma,A gun is no more dngrous thn a  bat in the hands of a #kohli n #rohit.#BCCI #IndvsSL #Cricket #T20 #SriLanka @imVkohli @BCCI @ICCMediaCommspic.twitter.com/tCGwyEXTNu,20,0,27
2017-09-07T06:48:54,atharv1684,Vicky Sharma,नपुंसक लोग हमेशा महिलाओं के पीछे खड़े होते हैं #Pakistan #PondyForRivers #NERising #Balochistan #HBDSachinPilot #Islamophobia #Rohingiyapic.twitter.com/92AC8zbUpJ,268,6,137
2017-09-07T07:05:35,atharv1684,Vicky Sharma,"MY first duty and highest obligation is public safety.#PondyForRivers #Muslim #PeaceAndLove #Rohingiya #NERising #HurricaineIrma
#MAGApic.twitter.com/82lihoinTQ",28,1,9
2017-09-07T07:31:16,atharv1684,Vicky Sharma,"अगर मेरे सैनिकों ने सोचना शुरू कर दिया, तो आप में से कोई भी भारत में नहीं रहेगा #NERising #BlockNarendaModi #HBDSachinPilot #PondyForRiverspic.twitter.com/10HkyJTyi1",41,2,14
2017-09-07T07:41:50,atharv1684,Vicky Sharma,#NarendraModi #GaurilLankesh #NERising #PondyForRivers #Rohingyas #Muslims #ModiInMyanmar #ShaktipunjExpress #HBDSachinPilot #IndianArmypic.twitter.com/Z5L3IYAYUL,15,3,10
2017-09-07T09:00:46,atharv1684,Vicky Sharma,95% #Media All 4 #TRP Dn't #Belive #AbuSalem #MumbaiBlast #shaktipunjexpress #NERising #MentallyBlocked #TADA #MAGA #NEWS #Islamophobia.pic.twitter.com/gpjY5s4XfR,47,0,23
2017-09-07T14:10:51,atharv1684,Vicky Sharma,"First learn the meaning of what you say, and then speak.सब क दिन अत हैं#Abusalem #OonchiHaiBuilding #Odisha #MAGA #BDUTT #Myanmar #Congresspic.twitter.com/kF7oPO86dx",114,1,31
2017-09-07T15:46:04,atharv1684,Vicky Sharma,चाचा चाची की लड़ाई क गुस्सा मोदी जी के उप्पेर निकलते है रोज कहानी घर घर की #VIVEGAM REIGNS WW BOX OFFICE #Digvijay #Congress #hurricaneirmapic.twitter.com/5YujiAXXRg,13,1,7
2017-09-07T20:38:53,atharv1684,Vicky Sharma,,1,0,0
2017-09-07T20:47:31,atharv1684,Vicky Sharma,dear if u cant understand he has made it to mock our dieties then it would b unjustified to consider u a real sepoy.. sorry but.......,10,1,5
2017-09-08T05:12:10,atharv1684,Vicky Sharma,"ऐसा जीवन जियो कि अगर
कोई आपकी बुराई भी करे तो कोई उस पर विश्वास ना करे.#CongressVisarjan #KusaTeaser #InternationalLiteracyDay #BJP4Yuvapic.twitter.com/qtilo1ZNbR",73,1,22
2017-09-08T06:37:30,atharv1684,Vicky Sharma,"अपनी काबिलियत इतनी बढाओ 
की लोगो को आपको  हराने केलिए,कोशिशें नही.साजिशें करनी पड़ें।#CongressVisarjan #InternationalLiteracyDay #KusaTeaserpic.twitter.com/Q5mnSFCy0D",135,7,64
2017-09-08T07:28:15,atharv1684,Vicky Sharma,The jealous are possessed by a mad devil and a dull spirit at the same time.#Daddy #NarendraModi #CongressVisarjan #InternationalLiteracyDaypic.twitter.com/lr8KY2Bjrp,28,1,11
2017-09-09T08:07:38,atharv1684,Vicky Sharma,शत्रुओं को मित्र बना कर क्या मै उन्हें नष्ट नहीं कर रहा ?#AbusiveLiberals #RyanInternationalSchool #HappyBirthdayAkshaykumar #जय श्रीरामpic.twitter.com/URVboORCkp,37,0,14
2017-09-09T18:59:03,atharv1684,Vicky Sharma,u r unable to understand the way he is mocking .. maa Durga doesnt need any material make up.. and in WB its  even banned by mamata begum,0,0,0
2017-09-10T05:57:41,atharv1684,Vicky Sharma,बेवजह शोर मचाने से सुर्खिया नही मिला करती.कर्म करो खामोशिया भी अखबारों में छपेंगी #YuvaTownHallWithShah #digvijaysingh #RohingyasTerroristpic.twitter.com/4yPZQo69q2,40,4,22
2017-09-10T13:20:45,atharv1684,Vicky Sharma,मिटटी में मिला 2 उन गद्दारों को जो गर्भ में रह कर गर्भ पर घात करते है चिर क रख 2 उनका सीना जो माँ भारती को बांटने की बात करते है #safeschoolpic.twitter.com/lm1ONBxRgT,127,18,44
2017-09-10T16:58:52,atharv1684,Vicky Sharma,bhai  harsh aur mai bhi pandit hi hai.. jai shri parshuram..,0,0,1
2017-09-11T08:51:39,atharv1684,Vicky Sharma,खून में है शामिल मेरे क़ातिल ऐ फ़ितरत बेशुमार हूँ मै लो क़रीब से पहचान लो मुझे हिंदुवो का ग़द्दार हूँ मै #Letsmarch #swamivivekanandapic.twitter.com/ZzApkFGE5D,168,7,68
2017-09-11T13:07:10,atharv1684,Vicky Sharma,@mayankforbjp bhaiya dm plz,0,0,0
2017-09-11T13:08:35,atharv1684,Vicky Sharma,dnt know..,0,0,0
2017-09-11T13:43:50,atharv1684,Vicky Sharma,we #NeverForget #September11attacks pic.twitter.com/M3sQX9kyI6,104,3,50
2017-09-11T14:20:59,atharv1684,Vicky Sharma,bhaiya dm plz,0,0,0
2017-09-11T17:50:55,atharv1684,Vicky Sharma,#NeverForget #SwamiVivekanand #MondayMotivation #ArrestRyanPinto #Newyork #womenpic.twitter.com/LjbBMpkw99,23,3,14
2017-09-11T21:25:30,atharv1684,Vicky Sharma,"On what rests the hope of the #republic? One country, one language, #America #September11attacks #NeverForget #September11 @realDonaldTrumppic.twitter.com/3Xq7cIENDs",4,1,4
2017-09-12T05:33:57,atharv1684,Vicky Sharma,"Try not to become a man of success, but rather try to become a man of value.#RGinUS #Berkeley #Democrate #NeverForget #RyanMustAnswerpic.twitter.com/o2AENwPfUl",76,0,25
2017-09-12T07:00:59,atharv1684,Vicky Sharma,Only 2 left #नमो_नमः #पप्पू #Berkeley #RGinUS #RahulGandhi #Sangh #JaipurViolence #जय_श्री_राम #TuesdayThoughts #RyanMustAnswer #NeverFogetpic.twitter.com/nEDJ0zz8ix,86,0,23
2017-09-12T07:19:00,atharv1684,Vicky Sharma,#ThoughtLeader #QuestionOfTheDay #dreamoftheday #हिन्दू_विरोधी_कांग्रेस #फ्रस्ट्रेटेड #देशद्रोही_घोटालेबाज #Berkeley #RGinUS #NoworNever2https://twitter.com/digvijaya_28/status/907480016618844161 …,1,0,0
2017-09-12T07:51:31,atharv1684,Vicky Sharma,मानों पितरों तक पहुँच गया।#RGinUS #Berkeley #हरहरमहादेव #स्वामी_विवेकानंद #नमो_नमः #जय_सनातन_जय_हिंदुत्व #गौ_माता #जय_श्री_राम #RahulGandhipic.twitter.com/iKf2vwqPL2,98,2,77
2017-09-12T08:16:39,atharv1684,Vicky Sharma,"अगर  कहीं  शांति नहीं  है , तो  इसकी  वजह  ये  है  कि  हम  भूल  चुके  हैं  कि  हम  एक -दूसरे  के  हैं #RGinUS #RahulGandhi #Berkeley #jaipurpic.twitter.com/qIFatDpatB",100,1,34
2017-09-12T17:01:33,atharv1684,Vicky Sharma,"GET FREE QUALITY #FOLLOWERS PER DAY
 http://tinyurl.com/yc8m9xq2#?/tYxS5yCn3hf6qa028WPgJsk4B … 
#WHUHUD #ClintFrazier #19hLD @junioorlc22 @ticket_bbs",0,0,0
2017-09-13T07:38:09,atharv1684,Vicky Sharma,RT if I Am #right #iphonelaunch #भगवा #रोहिंग्यामुस्लिमों_का_चहेता_भाई #Fakenews #dawoodibrahim #WednesdayWisdom #NotForEveryone #चाटूचार्यpic.twitter.com/bAG2nkOruC,176,15,74
