timestamp,user,fullname,text,retweets,replies,likes
2017-08-10T18:26:30,manisha_111,मनिषा #भारतमाताकी_जय,"Congratulations to @jitu_vaghani Ji for Successful and meaningful complete 1 year as a president of @BJP4Gujarat. 
#1YearOfJituVaghani",0,0,4
2017-08-11T17:05:28,manisha_111,मनिषा #भारतमाताकी_जय,"40 हिन्दू कांग्रेस MLA को बंधक बनाया गया है,
एक मुसलमान को जिताने के लिए,
और हामिद अंसारी जी कह रहे है की मुसलमान डरा हुआ है ! (1/2)",86,9,122
2017-08-11T17:07:53,manisha_111,मनिषा #भारतमाताकी_जय,"हम तो समजते थे कि हमारे 

उपराष्ट्रपति भारतीय है !

मगर अब मालूम हुआ, 

कि वो तो मुसलमान है ! (2/2)",40,4,52
2017-08-12T00:01:59,manisha_111,मनिषा #भारतमाताकी_जय,"I have been on Twitter for 4 years and 3 months (since 12 May 2013).
And you? http://TwiAge.com ",1,1,0
2017-08-13T17:58:46,manisha_111,मनिषा #भारतमाताकी_जय,@mpvadodara जन्मदिन की हार्दिक शुभकामनाएँ... ..,1,1,1
2017-08-14T16:16:08,manisha_111,मनिषा #भारतमाताकी_जय,"Thanks @sudhirchaudhary Ji for sharing about Shri Pingli Venkaya ji, designer of Indian Flag #Tiranga.
#BharatKeVeer
#IndependenceDayIndia",22,0,14
2017-08-14T17:31:02,manisha_111,मनिषा #भारतमाताकी_जय,भारत देश की नीव ही नही बल्कि ताकत है भारत के जवान और भारत के किसान। इसीलिये तो हम कहते है जय जवान जय किसान .#BharatKeVeer @BharatKeVeer,3,3,5
2017-08-14T17:34:09,manisha_111,मनिषा #भारतमाताकी_जय,"बंदूकों के आगे सीना तानके खडे हैं
सुकूनसे सोते है देश ये मानकर,
की सरहद पे कोई का जवान खड़ा है ।
भारत माता की जय,
जय हिन्द
#BharatKeVeer",2,0,3
2017-08-15T02:57:22,manisha_111,मनिषा #भारतमाताकी_जय,विश्व का सबसे बड़ा युवा वर्ग हमारे देश में हैं... आज आईटी का जमाना है और आईए हम डिजिटल लेन-देन की दिशा में आगे बढ़ें : PM @narendramodi,2,0,11
2017-08-15T09:37:15,manisha_111,मनिषा #भारतमाताकी_जय,"आज़ादी के ईन दिवानों को
देश पर मर मिटने वाले परवानों को
हमे सुख चैन मे सुलाने वालों को 
आज़ादी पर्व कि शुभकामनायें । #IndependenceDayIndiapic.twitter.com/Pev1mrknOD",66,7,73
2017-08-15T09:39:10,manisha_111,मनिषा #भारतमाताकी_जय,"इस आजादी को महफूज रखने के
लिए हम सभी का दायित्व है कि
देश की एकता व अखडता को
कायम रखने में हम अपने
अपने कर्तव्यो का मर्यादा के
साथ पालन करे.",22,0,18
2017-08-15T09:40:42,manisha_111,मनिषा #भारतमाताकी_जय,हमारा नमन उन अनगिन्त शहीदो को जिनकी चाह सिर्फ हमारी खुशी थी और जिन्होने देश की आज़ादी के लिये अपने को कुर्बान किया  #IndependenceDayIndiapic.twitter.com/FTXWOIgYbY,22,1,20
2017-08-15T17:29:54,manisha_111,मनिषा #भारतमाताकी_जय,@salim_merchant awesome creative and effective on current situation...  Best ever unity of our Indian community cover.. #MeraDeshHiDharam,2,0,1
2017-08-15T17:38:14,manisha_111,मनिषा #भारतमाताकी_जय,Thank you so much sir..,0,0,1
2017-08-17T17:32:57,manisha_111,मनिषा #भारतमाताकी_जय,Our thoughts and prayers are with the people of #Barcelona victims of today's suspected terror attack. Unity needed globally to stop this.,5,0,3
2017-08-22T05:19:00,manisha_111,मनिषा #भारतमाताकी_जय,"ऐसा विसर्जन करना है तो मत बैठाइए गणपती 

#जय गणेश#pic.twitter.com/WhUPRkQwCa",75,4,44
2017-08-22T14:36:33,manisha_111,मनिषा #भारतमाताकी_जय,"अच्छा दोस्तजिंदगी को जन्नत बनाताहै
इसलिए मेरी कद्र किया करोनादानों
वर्ना फिरकहते फिरोगे""बहती हवा सा थावो
यार हमारा था वो;कहाँ गया उसेढूढों",1,0,3
2017-08-23T02:47:19,manisha_111,मनिषा #भारतमाताकी_जय,@sengarajay235 जन्मदिन की हार्दिक शुभकामनाएं...,1,0,0
2017-08-25T07:29:41,manisha_111,मनिषा #भारतमाताकी_जय,"जय श्री गणेश
मित्रो
गणेश उत्सव की आपको और आपके पूरे परिवार को हार्दिक हार्दिक शुभकामनाएं मंगल मूर्ति आपकी सारी मनोकामनाए पूर्ण करे !pic.twitter.com/rvuMcG2jyK",47,6,37
2017-09-12T00:01:43,manisha_111,मनिषा #भारतमाताकी_जय,"I have been on Twitter for 4 years and 4 months (since 12 May 2013).
And you?http://TwiAge.com ",1,2,5
2017-09-17T09:52:36,manisha_111,मनिषा #भारतमाताकी_जय,"@narendramodi जननायक,विकासपुरुष माननीय प्रधानमंत्री जी के 67वां जन्मदिन पर हार्दिक शुभकामनाएं| #HBDPradhanSewakpic.twitter.com/w3WFJHKtlJ",0,0,1
