timestamp,user,fullname,text,retweets,replies,likes
2017-09-09T08:40:21,rishibagree,Rishi Bagree  🇮🇳,Follow  @OfficeOfRGhttps://twitter.com/shuchikalra/status/906433756088516608 …,46,13,204
2017-09-09T08:45:53,rishibagree,Rishi Bagree  🇮🇳,"North Korea has celebrated it's founder's day today in usual manner. 
Not tested any missiles. All went peacefully.",19,4,90
2017-09-09T09:08:18,rishibagree,Rishi Bagree  🇮🇳,"Confiscate this Rs 246 crore deposit in benami A/c 
& redistribute this to the Farmer's Families who committed suicide due to farm distresshttps://twitter.com/timesofindia/status/906434501768654848 …",147,16,247
2017-09-09T11:55:51,rishibagree,Rishi Bagree  🇮🇳,RT if you agreepic.twitter.com/7aJTThqw6J,0,0,0
2017-09-09T13:06:40,rishibagree,Rishi Bagree  🇮🇳,"Just reflects communal, casteist & divisive mentality of Congress??https://twitter.com/TimesNow/status/906493632588500992 …",196,23,269
2017-09-09T14:16:59,rishibagree,Rishi Bagree  🇮🇳,"When they lose argument , they will abuse you & bring your family (my 2 daughters in this case).
This is how they functions ..
Shameless pplhttps://twitter.com/autumnrainwish/status/906462136225873920 …",0,0,0
2017-09-10T04:32:55,rishibagree,Rishi Bagree  🇮🇳,This brilliant thread explains how nepotism played an important part in media recruitmenthttps://twitter.com/alok_bhatt/status/814656975573254145 …,337,19,481
2017-09-10T06:27:55,rishibagree,Rishi Bagree  🇮🇳,One of the constable who gave this 21 gun salute was ashamed to give it coz he was part of anti naxal police force earlier abused by Lankesh,235,15,382
2017-09-10T06:29:21,rishibagree,Rishi Bagree  🇮🇳,"Police officers in Special Naxal task force were criticised,abused by Gauri Lankesh often especially when they did encounters in 2003 & 2008",107,6,175
2017-09-10T07:27:23,rishibagree,Rishi Bagree  🇮🇳,"Media Meltdown

2013 - Attack Modi 
2014 - Attack Amit Shah
2015 - Attack BJP MP
2016 - Attack BJP MLA
2017 - Attack BJP supporters on SM",0,0,0
2017-09-10T07:55:50,rishibagree,Rishi Bagree  🇮🇳,Reminds of some JNU students pic.twitter.com/LYqABHhXlu,50,4,117
2017-09-10T09:04:37,rishibagree,Rishi Bagree  🇮🇳,"Confession of a News Trader ........
Finally She admitted her ilk's role in creating communal terror by fear mongeringpic.twitter.com/hHxEKkrUL5",212,26,302
2017-09-10T09:17:04,rishibagree,Rishi Bagree  🇮🇳,"Tweet Translation 
""We Lutyens are elevated,excited & exhilarated that a child got murdered in this very school which once endorsed BJP  ""https://twitter.com/abhisar_sharma/status/906394818514788352 …",139,12,216
2017-09-10T11:12:27,rishibagree,Rishi Bagree  🇮🇳,"A Freudian slip - Apni Party ?????

Which Party is Ravish Kumar talking about?
Does he Mean Congress party ????? Or he Meant AAP ????pic.twitter.com/XnBhfFGEmQ",649,116,880
2017-09-10T13:00:53,rishibagree,Rishi Bagree  🇮🇳,"So, eventually these vulture somehow succeeded in connecting 7 year old murder to BJPhttps://twitter.com/kavita_krishnan/status/906843568131653632 …",654,59,979
2017-09-10T13:05:58,rishibagree,Rishi Bagree  🇮🇳,I was mentioning abt state honour not about the army honour formalities. Keeping that aside was she nt a urban Naxalite convicted by court?https://twitter.com/sahiljoshii/status/906864370679812096 …,57,7,144
