timestamp,user,fullname,text,retweets,replies,likes
2017-09-11T19:07:30,sanghaviharsh,Harsh Sanghavi,Happy to get team City Tadka as organising team in such noble cause.,3,1,5
2017-09-11T19:14:44,sanghaviharsh,Harsh Sanghavi,Ahmedabad is shinning with all the spark to welcome & host both the PM @narendramodi & @AbeShinzo India-Japan Strong Relations are Visiblepic.twitter.com/WsvoZlH2ci,153,9,314
2017-09-11T19:44:18,sanghaviharsh,Harsh Sanghavi,"Send 1st-time young stone-pelters for rehab, not jail: Rajnath Singhhttp://toi.in/nRt-7b/a20ci ",66,1,88
2017-09-12T05:51:14,sanghaviharsh,Harsh Sanghavi,"छोटो छोटी मुस्कुराहटो को आइये हसी में बदलते है 
हम और आप मिलकर इनकी शिक्षा को बढ़ावा देते हैं
For Divyangs on eve of @narendramodi b'day.pic.twitter.com/4FWTjmcs7B",211,22,462
2017-09-12T11:03:32,sanghaviharsh,Harsh Sanghavi,Teaching path of good habits is what PM @narendramodi ji is best at.I got inspired by Modi ji n left the addiction for overall developmentpic.twitter.com/vXMCRMhDFT,73,1,135
2017-09-12T11:49:22,sanghaviharsh,Harsh Sanghavi,ગુજરાતની પ્રજાની એક જ વાત  દિવાળી 'પહેલા ઘર' સાફ અને દિવાળી 'પછી કોંગ્રેસ' સાફ,167,30,384
2017-09-12T18:14:30,sanghaviharsh,Harsh Sanghavi,वराछा विधानसभा-सूरत शहेर युवा मोर्चा द्वारा आयोजित #विजय_टंकार_युवा_संमेलनpic.twitter.com/4VktOxBgqJ,143,14,384
2017-09-13T02:28:31,sanghaviharsh,Harsh Sanghavi,Welcoming the Architect of #NewIndia shri @narendramodi ji to Gujarat.pic.twitter.com/0ScdmwXNRB,124,5,355
2017-09-13T06:17:03,sanghaviharsh,Harsh Sanghavi,Picture hold thousands emotions.India is a proud to hold unity in diversity.The love for @narendramodi ji can be seen in picture perfect.pic.twitter.com/xUbC5qfafZ,136,4,288
2017-09-13T08:20:28,sanghaviharsh,Harsh Sanghavi,कांग्रेस के कार्यकर्ता भी राहुल गांधी की इस बात पर हंस रहे हैं कि वह प्रधान मंत्री की उम्मीदवारी के लिए तैयार हैं pic.twitter.com/VHgBQGFynq,107,24,160
2017-09-13T09:47:47,sanghaviharsh,Harsh Sanghavi,.@narendramodi Strongly believes imp.of Digitization in India's Growth.India is land of Mouse by mouse he meant computer Mouse.#KnowYourPMpic.twitter.com/TTY5U021Oh,48,0,96
2017-09-13T11:18:32,sanghaviharsh,Harsh Sanghavi,PM @narendramodi ji & PM @AbeShinzo visited Gandhi Ashram and Paid Tribute to Father of the nation 'Mahatma Gandhi'ji.pic.twitter.com/ZruP36Bpqw,76,3,159
2017-09-13T18:09:07,sanghaviharsh,Harsh Sanghavi,Yes I am sure under Honourable PM @narendramodi our Govt will surely complete this dream project on Timehttps://twitter.com/vrushantm/status/907984291640086530 …,78,8,189
