timestamp,user,fullname,text,retweets,replies,likes
2017-09-11T15:10:03,tivra123,काठियावाडी बाबा,"PM,राष्ट्रपति तो बनवा दिया,
बस अब तो SC,ST या OBC का..
सरसंघचालक ही #BJP व् #RSS पर,
लगे ब्राह्मण वाद के ठप्पे को हटा सकता है",20,4,24
2017-09-11T15:18:56,tivra123,काठियावाडी बाबा,"बाबा को बाहर की आज़ादी नही चाहिए,
उसको तो बस अंदर हनीप्रित चाहिए !
#RamRahim",23,3,25
2017-09-11T16:16:47,tivra123,काठियावाडी बाबा,"JK03 नं प्लेट वाली गाड़ी व् सदरी
पहने लोग के वीडियो को
जयपुर दंगे का वीडियो बताने वाले
लोगो को Social नारद की
उपाधि से सम्मानित करना चाहिए",21,1,13
2017-09-11T16:57:05,tivra123,काठियावाडी बाबा,"मानवता के सम्मान के तौर पे
हिमायत कर रहे उन सभी देशो मे
रोहिंग्या मुसलमानो को
समान अंक मे बांट देना चाहिए !",25,0,20
2017-09-12T04:02:57,tivra123,काठियावाडी बाबा,"सब्र से ज़िन्दगी नही कटती है,
पर गरीबी से इज्जत जरूर घटती है !
#सुप्रभातpic.twitter.com/bJ21P6cZko",49,4,55
2017-09-12T06:23:12,tivra123,काठियावाडी बाबा,कटु सत्य,0,0,0
2017-09-12T06:52:23,tivra123,काठियावाडी बाबा,"मोदी के खिलाफ देश मे बोलना,
एक अलग बात है पर
विदेश मे बोलना अखंड राजनीतिक
अपरिपक्वता की निशानी है !
#RGinUSpic.twitter.com/BXhiFVXZXF",52,6,43
2017-09-12T09:26:29,tivra123,काठियावाडी बाबा,"सुना है सात समंदर पार अमेरिका के
बर्कले Uni. मे हुए बुद्धि परीक्षण मे
एकबार फिर शहजादे ने अपनी
अल्पबुद्धि का परिचय दिया !
#RGinUS",38,1,40
2017-09-12T13:59:31,tivra123,काठियावाडी बाबा,"पता ही नही चलता की वंशवाद पर
खुद को उचित सिद्ध करने या खुद को 
troll करने अखिलेश,स्टालिन,
अभिषेक बच्चन का वास्ता दिया !
#RGinUS",18,1,21
2017-09-12T15:24:27,tivra123,काठियावाडी बाबा,"रिश्तेदारो वाले व्हाट्सएप्प ग्रुप,
अंडरवर्ल्ड डॉन के किसी गिरोह से,
कम नही.. कम्बखत एक बार घुसे तो,
निकलना बिल्कुल नामुमकिन !",21,3,12
2017-09-12T16:30:05,tivra123,काठियावाडी बाबा,"जिस दिन पति-पत्नी के बीच,
होता है बडा झगड़ा,
उस शाम घर मे थोक के भाव मे,
कूटे जाते है बेचारे बच्चे !
#यथार्थ",12,2,10
2017-09-12T16:45:11,tivra123,काठियावाडी बाबा,"शाम को रात मे तब्दील करते करते
औकात से अधिक गटकाई Whiskey
खाने को उल्टी मे..
और ज़िंदगी को जहन्नुम मे..
तब्दील करता है !
#यथार्थ",16,1,7
2017-09-12T17:27:48,tivra123,काठियावाडी बाबा,"विडंबना तो देखे कश्मीरी पंडित
कश्मीर मे वापिस बसने को
तड़प रहे है और लिबरल उन
40 हजार रोहिंग्या को
बसाने को तड़प रहे है !
@PMOIndia",30,0,24
2017-09-13T04:37:03,tivra123,काठियावाडी बाबा,"कुछ सवालों के जवाब जो समय देता है,
देरी से ही भले पर जब भी देता है,
लाजवाब देता है !
#सुप्रभातpic.twitter.com/TExB1SbIw9",23,1,35
2017-09-13T13:30:38,tivra123,काठियावाडी बाबा,"आबे को मस्जिद ले जाकर मोदी ने,
न सिर्फ सेक्युलर बल्कि रोहिंग्या,
मुसलमानो के मन मे भी..
आशा की किरण का प्रगटीकरण करवाया !pic.twitter.com/GadD4exscc",24,2,23
