timestamp,user,fullname,text,retweets,replies,likes
2017-09-12T04:46:26,Chaudhary10dec,जाट की जुगणी,Hare krishna Dada subh prabhat ,2,1,5
2017-09-12T05:08:30,Chaudhary10dec,जाट की जुगणी,Double standards of so called sickulars (secular)pic.twitter.com/ZG2GOYos63,3,1,7
2017-09-12T09:17:59,Chaudhary10dec,जाट की जुगणी,"After Being Stopped from drinking Alcohol In Temple Premises, Peaceful Youths Attack Priest Vandalised Templehttp://trollindianpolitics.com/2017/09/stopped-drinking-alcohol-temple-premises-peaceful-youths-attack-priest-vandalised-temple/ …",0,0,1
2017-09-12T12:32:11,Chaudhary10dec,जाट की जुगणी,Welcome to my new 6 followers and goodbye to 4 unfollowers (FREE stats by http://www.unfollowspy.com ),0,0,0
2017-09-13T10:47:01,Chaudhary10dec,जाट की जुगणी,नेहरू ने चीन को तिब्बत दिया 1962 की हार दी इंदिरा ने एमरजेंसी दी राजीव ने 1984 के दंगो मे बेगुनाह सिखो को मरवाया फिर उसने owl बाबा दिया ,133,13,82
2017-09-13T10:55:00,Chaudhary10dec,जाट की जुगणी,Watch massive expose. Who is the new ‘PRESSTITUTE SLAVE’ NDTV’s Ravish is feeding to help his terrorist friends?!http://postcard.news/watch-massive-expose-new-presstitute-slave-ndtv-ravish-kumar-feeding-help-terrorist-friends/ …,5,0,6
2017-09-13T12:33:08,Chaudhary10dec,जाट की जुगणी,Last 24 Hours = 6 Followers and 1 Unfollowers (stats by http://unfollowspy.com  app),0,0,2
2017-09-14T03:12:59,Chaudhary10dec,जाट की जुगणी,Ram Rahim bhi Congress ne hi diya or jail usko BJP ne bheja,0,1,0
2017-09-14T03:35:11,Chaudhary10dec,जाट की जुगणी,Hare Krishna dada gud mrng,1,1,2
2017-09-14T04:27:02,Chaudhary10dec,जाट की जुगणी,"हिंदी दिवस के अवसर पर हार्दिक शुभकामनाएँ
जिसको न निज भाषा न निज देश पर अभिमान है वह नर नही पशु निरा और मृतक के समान है।
#हिंदी_दिवस #जय_हिंदpic.twitter.com/3eHHLBnSQr",3,1,5
2017-09-14T04:41:12,Chaudhary10dec,जाट की जुगणी,Nalanda: 9 Million Books Burnt in 1193 by Bakhtiyar Khiljihttps://www.myindiamyglory.com/2017/09/11/nalanda-9-million-books-burnt/ …,0,0,1
