timestamp,user,fullname,text,retweets,replies,likes
2017-09-17T02:05:16,PashaSehgal,Lt Gen DP Sehgal,@singhcbk Have a fabulous birthday and  great year ahead. We pray for your long life with continued good health and happiness. Stay blessed,1,2,1
2017-09-17T02:07:05,PashaSehgal,Lt Gen DP Sehgal,सुप्रभात। शुभ ही शुभ हो।,2,0,7
2017-09-17T02:08:29,PashaSehgal,Lt Gen DP Sehgal,@ajitsinghpundir happy birthday Advocate Pundir. Many more to come. Stay blessed,4,1,4
2017-09-17T02:15:29,PashaSehgal,Lt Gen DP Sehgal,Good Morning Friends. Many greetings to चन्द्र भान सिंह and Advocate Ajit Pundir. We wish both of them good luck and success. God bless.,5,2,7
2017-09-17T03:39:15,PashaSehgal,Lt Gen DP Sehgal,सिपाही लड़ता है देश और देश वासियों के लिए। अपनी मातृभूमि के लिए। बाकी उसे कुछ लेना देना नहीं। जय हिंद।,12,4,12
2017-09-17T03:43:30,PashaSehgal,Lt Gen DP Sehgal,@narendramodi आप के जन्मदिन पर हार्दिक शुभकामनाएं। May God give you long healthy life and more strength to take care of India and Indians.,1,1,7
2017-09-17T06:58:21,PashaSehgal,Lt Gen DP Sehgal,#koreaopen What a match! What a victory! Well played #PVSindhu. Congratulations. Continue this stride. We are proud of you.,5,0,18
2017-09-17T07:13:04,PashaSehgal,Lt Gen DP Sehgal,#MannKiBaat Petrol Diesel prices are killing middle class and pushing WPI up. Please address this issue on priority #PM @narendramodi Sir.,10,3,21
2017-09-17T07:31:51,PashaSehgal,Lt Gen DP Sehgal,Needs to be brought under GST. Else Excise and VAT must be reduced.,1,0,3
2017-09-17T08:19:51,PashaSehgal,Lt Gen DP Sehgal,माँ माँ है ठीक ही सलाह दे गी।,0,0,2
2017-09-18T04:04:12,PashaSehgal,Lt Gen DP Sehgal,That's a very good gesture on your part @Pvsindhu1 and in turn acknowledging the services of our great PM @narendramodi. Excellenthttps://twitter.com/Pvsindhu1/status/909432611889541120 …,10,0,26
2017-09-18T14:16:46,PashaSehgal,Lt Gen DP Sehgal,Absolutely yes Anil.,0,1,1
2017-09-18T14:27:46,PashaSehgal,Lt Gen DP Sehgal,These netas get every thing free . How will they understand the plight of common man? And they are law unto themselves and can say anything.,1,0,0
2017-09-19T02:39:38,PashaSehgal,Lt Gen DP Sehgal,जय श्री कृष्ण । सुप्रभात,4,1,5
2017-09-19T02:40:20,PashaSehgal,Lt Gen DP Sehgal,सुप्रभात। नमस्कार,1,0,3
2017-09-20T02:37:49,PashaSehgal,Lt Gen DP Sehgal,Good Morning Friends,3,1,6
2017-09-21T01:21:24,PashaSehgal,Lt Gen DP Sehgal,Good Morning. Happy Navratri to all.,3,2,9
2017-09-21T01:33:33,PashaSehgal,Lt Gen DP Sehgal,नवरात्रि की सब को हार्दिक शुभकामनाएं। May Goddess bless you all. जय माता दी।pic.twitter.com/A3UnQ7QBqW,10,7,33
2017-09-21T02:31:28,PashaSehgal,Lt Gen DP Sehgal,सुप्रभात जय माता दी,0,1,6
2017-09-21T02:34:01,PashaSehgal,Lt Gen DP Sehgal,सुप्रभात जय माता दी,1,1,5
2017-09-21T05:11:07,PashaSehgal,Lt Gen DP Sehgal,नवरात्रि की आप को हार्दिक शुभकामनाएं,2,0,1
2017-09-21T10:33:53,PashaSehgal,Lt Gen DP Sehgal,You are right.,3,1,4
