timestamp,user,fullname,text,retweets,replies,likes
2017-07-13T11:37:03,Punitspeaks,Punit Agarwal  🇮🇳,thank u bhai,0,0,0
2017-07-13T11:37:15,Punitspeaks,Punit Agarwal  🇮🇳,thank u bhai,0,0,2
2017-07-14T05:24:39,Punitspeaks,Punit Agarwal  🇮🇳,#AmitShahInDelhi @AmitShah @ManojTiwariMPpic.twitter.com/cRSQX2uJPj,10,0,11
2017-07-14T05:42:24,Punitspeaks,Punit Agarwal  🇮🇳,Trending now #AmitShahInDelhi . Pls keep tweeting @AmitShah @ManojTiwariMP @neelkantbakshipic.twitter.com/aWqHCFQoeP,26,1,19
2017-07-18T08:53:48,Punitspeaks,Punit Agarwal  🇮🇳,"No bouquets for @narendramodi on tours in India, flower with khadi handkerchief or book preferred 
http://www.firstpost.com/india/no-bouquets-for-narendra-modi-on-tours-in-india-flower-with-khadi-handkerchief-or-book-preferred-3823847.html …pic.twitter.com/MzO3okqT08",4,0,3
2017-07-20T09:35:40,Punitspeaks,Punit Agarwal  🇮🇳,Meira Kumar was made a scapegoat by @INCIndia just to satisfy their ego. Shame on them who did politics on President polls also @OfficeOfRG,8,0,6
2017-07-20T09:49:24,Punitspeaks,Punit Agarwal  🇮🇳,"BJP' s dalit candidate all set to become the 14th President . 
#NationHonoursDalits",11,0,9
2017-07-20T09:50:27,Punitspeaks,Punit Agarwal  🇮🇳,"@INCIndia knew Meira Kumar ll lose but they made her scapegoat. But finally Kovind ji set to win. 
#NationHonoursDalits",4,0,3
2017-07-20T09:52:58,Punitspeaks,Punit Agarwal  🇮🇳,"Ramnath Kovind ji all set to be the next 1st Person of India 
#NationHonoursDalits",25,0,17
2017-07-20T10:16:05,Punitspeaks,Punit Agarwal  🇮🇳,Modi govt has proven its unwavering support to Dalit cause by choosing a Dalit President #NationHonoursDalits,4,0,2
2017-07-20T10:16:24,Punitspeaks,Punit Agarwal  🇮🇳,Election of Ramnath Kovind as President of India marks an epoch in Dalit history. Modi govt has shown a way forward #NationHonoursDalits,10,0,4
2017-07-20T10:16:56,Punitspeaks,Punit Agarwal  🇮🇳,"मोदी सरकार ने देश के दलितों को दिया सर्वोच्च स्थान, ये है मोदी सरकार का दलित प्रेम https://goo.gl/PCsyC3  #NationHonoursDalits",1,0,1
2017-07-20T10:18:07,Punitspeaks,Punit Agarwal  🇮🇳,"ऐतिहासिक काम, दमदार परिणाम और रामनाथ कोविंद की जीत, ये कुछ देर में सच हो जाएगा #NationHonoursDalits",4,0,5
