timestamp,user,fullname,text,retweets,replies,likes
2014-08-21T12:31:32,RSSorg,RSS,"Namaskar, RSS is officialy entering into the wonderful world of communication. Welcome to all to our official twitter handle.",877,182,528
2014-08-21T18:08:24,RSSorg,RSS,"WE became independent of the British in '47
WE got our constituition in 1950.
This WE is in continuum a personality as nation- Hindu nation",255,28,165
2014-08-21T18:15:29,RSSorg,RSS,People are the nation. This personality in continuum of our nation is known world over as Hindutva which means Hinduness and not Hinduism.,315,41,186
2014-08-22T08:57:45,RSSorg,RSS,The dream that made the scintillating Vivekananda Rock Memorial http://organiser.org/archives/historic/dynamic/modulesfe2d.html?name=Content&pa=showpage&pid=135&page=22 …pic.twitter.com/mDz44kVfjG,258,19,152
2014-08-24T13:01:47,RSSorg,RSS,शहीद शिवराम हरि राजगुरु जी की जयंती पर प्रणाम |pic.twitter.com/naDqAjMp7E,253,23,175
2014-08-27T13:42:52,RSSorg,RSS,Preservation of western Ghat: RSS stands by its ABKM statement- Dattatrey Hosabale,37,3,32
2014-08-27T13:45:58,RSSorg,RSS,Gadgil- Kasturirangan report: RSS opinion is that contentious issues shud b sorted out by consensus of experts: Dattatrey Hosabale,18,1,19
2014-08-27T13:47:29,RSSorg,RSS,Gadgil-Kasturirangan reports: A national debate to evolve consensus is desirable: Dattatrey Hosabale,36,7,26
2014-08-28T00:37:03,RSSorg,RSS,हिन्दू समाज के अस्तित्व को अक्षुण्ण बनाए रखने में संतों की महती भूमिका : सरकार्यवाह,72,14,77
2014-08-28T01:54:41,RSSorg,RSS,"It is our duty to preserve, enrich and pass natural resources to the next generationhttp://vskkerala.com/rss-stands-by-abkm-statement-on-gadgil-kasturirangan-report/ …",66,4,48
2014-08-29T09:40:01,RSSorg,RSS,#GanpatiBappaMorya Happy Ganesh Chaturthipic.twitter.com/Zp7mPlP3VA,251,25,167
2014-08-30T18:35:26,RSSorg,RSS,Provide our students with an education which is beneficial to our nation Dr Mohan Bhagawathttp://vskkerala.com/we-should-provide-our-students-with-an-education-which-is-beneficial-to-our-nationsarasangh-chalak/ …,54,11,67
2014-08-31T07:07:47,RSSorg,RSS,"हम अपने छात्रों को वह शिक्षा दे जो हमारे राष्ट्र की लिये हितकारी हो : पूजनीय मोहन जी भागवत
http://vskkerala.com/we-should-provide-our-students-with-an-education-which-is-beneficial-to-our-nationsarasangh-chalak/ …pic.twitter.com/d9XhyV6zW4",194,36,173
2014-08-31T08:34:33,RSSorg,RSS,"@rajkumartambi Sure, One can join RSS at any age..",2,0,7
2014-09-01T06:42:10,RSSorg,RSS,"More than 1,30,000 RSS inspired service projects  without any gov aid. 
http://vskkerala.com/good-people-should-come-forward-to-understand-the-sanghdr-mohan-bhagwat/ …",116,5,70
2014-09-01T06:51:54,RSSorg,RSS,सज्जन लोगो को संघ को समझने के लिए आगे आना चाहिए : श्री मोहन भागवतhttp://vskkerala.com/good-people-should-come-forward-to-understand-the-sanghdr-mohan-bhagwat/ …,218,19,124
2014-09-01T11:49:24,RSSorg,RSS,Brutal murder of a dedicated worker of RSS in Kannur (Kerala) by frustrated CPM goons. RSS strongly condemns this cowardly act : Dr. Vaidya,295,40,96
2014-09-02T14:26:14,RSSorg,RSS,RSS delegation led by KrishnaGopalji met @BJPRajnathSingh requested to intervene in Kannur murder politics of CPMpic.twitter.com/eZjFTjttA3,266,21,92
2014-09-04T09:11:10,RSSorg,RSS,Kannur murder: Investigation team fears CPM backlash. Independent central agency can only take the investigation to its logical conclusion,182,13,67
2014-09-04T11:45:12,RSSorg,RSS,@RSSorg Malayalmanorama e edition has reported about the fear of police officers.http://bit.ly/Z89VaK ,16,2,22
2014-09-06T14:45:47,RSSorg,RSS,Apocalypse Now at J&K. Flood waters wash away entire villages. Sewa Bharati Volunteers @ ground zero need your help.pic.twitter.com/XN1TE9DkpH,143,6,83
2014-09-06T15:31:31,RSSorg,RSS,Let us extend helping hand to our suffering brethren in J&Khttp://tinyurl.com/k4ek69y ,133,10,51
2014-09-06T15:48:40,RSSorg,RSS,@dvaitadvait1 What do you mean? Have you given away whole J&K to Terrorist? Do you mean that flood has happened in any terrorist camp?,2,10,1
2014-09-07T02:36:02,RSSorg,RSS,"Inspiring life sketch of Yadava Rao Joshi who made RSS strong in south India 
http://bit.ly/1lIFv8U pic.twitter.com/OsM3D0Dopk",89,5,88
2014-09-08T00:16:50,RSSorg,RSS,"OFBJP USA submitted an appeal to Ram madhav ji on the CPM terror against RSS & Bjp in Kannur
http://bit.ly/1qupmVl pic.twitter.com/Cw503eKrs5",79,13,63
2014-09-08T13:17:47,RSSorg,RSS,जब तक समाज में असमानता रहेगी तब तक आरक्षण आवश्यक है:- डॉ मोहन भागवत,65,41,64
2014-09-08T13:22:16,RSSorg,RSS,"उन्हें एक हज़ार साल तक अन्याय और कष्ट सहन करने पड़े है, उनकी स्थिति ठीक होने तक हमें 100 साल तक भी कष्ट सहन करना पड सकता है:- डॉ मोहन भागवत",75,22,62
2014-09-11T06:43:39,RSSorg,RSS,"जाने-माने समाज सुधारक, भारत रत्न श्री विनोबा भावे जी की जयंती पर प्रणाम |pic.twitter.com/AdZnDbV4h6",109,8,105
2014-09-11T06:45:29,RSSorg,RSS,Here is the historic speech delivered by Swami Vivekananda in Chicago in 1893. http://www.belurmath.org/swamivivekananda_works.htm …pic.twitter.com/tjVcdO6BEb,268,15,163
2014-09-11T08:21:46,RSSorg,RSS,हिन्दी भाषा की प्रख्यात कवयित्री महादेवी वर्मा जी की पुण्यतिथि पर श्रधांजलि |pic.twitter.com/joiEkJkmf0,91,10,100
2014-09-15T06:47:34,RSSorg,RSS,Tributes to Bharat Ratna Sir Mokshagundam Visvesvaraya on his birth anniversary.pic.twitter.com/e8E08zlNID,125,11,111
2014-09-24T02:41:06,RSSorg,RSS,"Bharat creates new space history. ISRO confirms end of burn, passes final test. Manglayan declared succesful. Congrats TEAM ISRO",124,12,97
2014-09-25T01:28:31,RSSorg,RSS,नवरात्रि की शुभकामनायेpic.twitter.com/jjd3XWY3N3,174,18,145
2014-09-26T10:13:13,RSSorg,RSS,पर्यावरण प्रदूषण व नशे की समस्या बच्चों को दिए जाने वाले संस्कारों से ही हल होगी | : श्री मोहन भागवत,82,5,76
2014-09-28T16:28:26,RSSorg,RSS,अमर शहीद क्रांतिकारी #BhagatSingh जी की जयंती पर शत् शत् नमन |pic.twitter.com/VTVzlcYppV,78,6,79
2014-10-02T06:01:26,RSSorg,RSS,Preparations nearing completion @Nagpur for the auspicious celebration of #RSSVijayadashmi to be held tomorrow 7.30am,73,8,67
2014-10-02T22:41:45,RSSorg,RSS,"सभी भगिनी, बन्धुवों एवं शुभ चिंतकों को विजयादशमी के मंगलपर्व पर हार्दिक शुभकामनाएं
#RSSVijayadashmi",88,8,69
2014-10-03T01:21:03,RSSorg,RSS,"#RSSVijayadashmi Sanchalan just concluded, function will start sharply @7.30ampic.twitter.com/JKZDdaqwlD",95,8,95
2014-10-03T01:52:17,RSSorg,RSS,"नमस्कार, राष्ट्रीय स्वयंसेवक संघ का विजयादशमी उत्सव कुछ ही समय में शुरू होने जा रहा है. लाइव देखिये http://www.vsknagpur.org 
#RSSVijayadashmi",69,5,59
2014-10-03T02:18:35,RSSorg,RSS,Because of the unabated Sangha Tapasya the whole world has started watching RSS with rapt attention. #RSSVijayadashmi,73,5,60
2014-10-03T02:21:50,RSSorg,RSS,"@ParinVShah No, PT is going on right now. PujaneeyaMohanji will start his Boudhik after this.",4,0,6
2014-10-03T02:28:40,RSSorg,RSS,संघ की शक्तिपूजा #RSSVijayadashmipic.twitter.com/AIAWtHbayh,189,20,183
2014-10-03T03:00:59,RSSorg,RSS,"आज़ादी काफी नहीं, हम को एकता की चरित्र की जरूरत है. संघ वही काम कर रहा है:     Dada vaswani #RSSVijayadashmi",81,3,78
2014-10-03T03:08:59,RSSorg,RSS,"देश का पौरुष जगाये 
आज यह पावन दिवस है
#RSSVijayadashmi",65,7,65
2014-10-03T03:11:07,RSSorg,RSS,"We offer pranams to Great Rajendra chola, whose millennium year is celebrating this year. Dr Bhagavatji in  #RSSVijayadashmi",79,3,62
2014-10-03T03:11:54,RSSorg,RSS,The grand success of Mangalyaan has tremendously generated respect for us &has added to our self respect. #RSSVijayadashmi,58,4,60
2014-10-03T03:13:13,RSSorg,RSS,Hearty congrats to one and all athletes who made nation proud by winning medals in the Asiad: Dr Bhagavatji in #RSSVijayadashmi,90,3,74
2014-10-03T03:20:45,RSSorg,RSS,"Bharateeya diaspora is exhibiting enthusiasm & resolve towards the Motherland.
#RSSVijayadashmi",68,8,51
2014-10-03T03:22:07,RSSorg,RSS,Selfish interests by the western countries are responsible for  terrorism emerged today in the form of ISIS.#RSSVijayadashmi,87,6,46
2014-10-03T03:25:09,RSSorg,RSS,"Arrogance, egoism, fanaticism shown in the conduct among individuals or nations are the real cause of the Global crisis. #RSSVijayadashmi",81,3,52
2014-10-03T03:27:06,RSSorg,RSS,Bharat has been the only eg which has made genuine efforts in this direction through the path of truth and non-violence.#RSSVijayadashmi,82,4,54
2014-10-03T03:28:35,RSSorg,RSS,"Respect and acceptance of each other’s faith, harmony and cooperation is the hall mark speciality of Hindu Culture.#RSSVijayadashmi",144,7,86
2014-10-03T03:30:40,RSSorg,RSS,"Without attmptng to conqr any empire, Rishis & Munis shared  Bharatiya ethos of love, affection and universal welfare. #RSSVijayadashmi",147,3,96
2014-10-03T03:32:40,RSSorg,RSS,"(1) To the hungry babies of this world, I've fed blood from my heart,
#RSSVijayadashmi",55,2,45
2014-10-03T03:33:32,RSSorg,RSS,"(2) Not others' lands, I'm determined to conquer innumerable hearts !
#RSSVijayadashmi",51,3,45
2014-10-03T03:37:38,RSSorg,RSS,New government is not even six months old. But positive signs are emanating from time to time which give hope #RSSVijayadashmi,92,9,66
2014-10-03T03:40:21,RSSorg,RSS,Emergence of strong Bharat on the international horizon. Fulfilling the aspirations of the common Bharateeya #RSSVijayadashmi,63,2,55
2014-10-03T03:41:43,RSSorg,RSS,It is our duty to keep our surroundings clean #RSSVijayadashmi,79,8,59
2014-10-03T03:47:43,RSSorg,RSS,Gov'll 've to evolve a suitable development path which suits our current situation #RSSVijayadashmi,51,6,46
2014-10-03T03:50:08,RSSorg,RSS,"Jihadi atrocities are increasing alarmingly in TN &Kerala, concerned govts' there are not taking actions effectively #RSSVijayadashmi",119,12,68
