timestamp,user,fullname,text,retweets,replies,likes
2017-09-11T10:32:01,RaviRanjanIn,Ravi Ranjan रवि रंजन,Finally a dedicated portal #BharatKeVeer for family of Martyr Jawans #RajnathWithJawans,5,0,2
2017-09-11T10:33:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,Donated amount will be credited to ‘Next of Kin’ of those CAPF's soldiers. #RajnathWithJawans,3,0,0
2017-09-11T10:34:01,RaviRanjanIn,Ravi Ranjan रवि रंजन,Good News For Our Jawans: Modi Govt Approves Pay Hikes For Army Doctors Effective From Aug 17 #RajnathWithJawans,4,0,7
2017-09-11T10:36:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,"Home Minister @RajnathSingh Breaks Protocol, Hugs BSF Jawan With Disability #RajnathWithJawans",51,6,117
2017-09-11T10:38:01,RaviRanjanIn,Ravi Ranjan रवि रंजन,HM Rajnath Singh announces Rs 1 crore aid to kin of martyred paramilitary jawans #RajnathWithJawans,3,0,1
2017-09-11T10:39:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,Rajnath launches mobile App for grievances redressal of CAPF personnel #RajnathWithJawans,3,0,0
2017-09-11T10:41:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,HM Rajnath ji said  ready to give more facilities to our CAPF personnel. Govt. #RajnathWithJawans,2,0,1
2017-09-11T10:43:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,will consider helicopter services for @crpfindia in J&K : HM Rajnath Singh #RajnathWithJawans,3,0,1
2017-09-11T10:45:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,We are proud of our @crpfindia personnel : HM Rajnath Singh #RajnathWithJawans,2,0,0
2017-09-11T10:47:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,Courage cannot be purchased from any market. You are born with unassailable &unmatched courage: HM Rajnath Singh #RajnathWithJawans,2,0,0
2017-09-11T10:49:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,Paramilitary personnel hv contributed immensely 4 maintaining unity & integrity of the country: HM @rajnathsingh #RajnathWithJawans,2,0,1
2017-09-11T11:10:07,RaviRanjanIn,Ravi Ranjan रवि रंजन,#RajnathWithJawanshttps://twitter.com/HMOIndia/status/907199359867002880 …,1,0,0
2017-09-11T11:11:09,RaviRanjanIn,Ravi Ranjan रवि रंजन,"J&K पुलिस के जवानों को मिलेंगे बुलेटप्रूफ जैकेट, थानों में होंगी स्पेशल गाड़ी: राजनाथ सिंह http://bit.ly/2wUgAHy  #RajnathWithJawans",2,0,1
2017-09-11T11:12:46,RaviRanjanIn,Ravi Ranjan रवि रंजन,राजनाथ ने प्रोटोकॉल तोड़ बहादुर बीएसएफ जवान को गले लगाया http://bit.ly/2wVgIXy  #RajnathWithJawans,5,0,3
2017-09-11T11:14:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,"कश्मीर को जन्नत बनने से कोई भी ताकत नहीं रोक सकती: राजनाथ सिंह
http://bit.ly/2xYHw9p  #RajnathWithJawans",1,0,0
2017-09-11T11:15:35,RaviRanjanIn,Ravi Ranjan रवि रंजन,गृह मंत्रालय ने अर्द्धसैनिक बल CRPF और CISF में  कांस्टेबल रैंक की 33 फीसदी सीटें महिलाओं के लिए आरक्षित कर दिया है #RajnathWithJawans,1,0,0
2017-09-11T11:16:57,RaviRanjanIn,Ravi Ranjan रवि रंजन,"""मैं पीएम नरेंद्र मोदी का मैसेज लाया हूं। उन्होंने आपकी बहादुरी और दिलेरी की तरीफ की है।"" ~ गृहमंत्री जवानों से #RajnathWithJawanspic.twitter.com/w82oZnGrXb",1,0,2
2017-09-11T11:18:39,RaviRanjanIn,Ravi Ranjan रवि रंजन,"""मैं पीएम नरेंद्र मोदी का मैसेज लाया हूं। उन्होंने आपकी बहादुरी और दिलेरी की तरीफ की है।"" ~ गृहमंत्री जवानों से #RajnathWithJawanspic.twitter.com/JeQXFWbhkh",1,0,0
2017-09-11T11:19:11,RaviRanjanIn,Ravi Ranjan रवि रंजन,पूरा देश #BharatKeVeer पहल के माध्यम से देश के जवानों के सहयोग में अपना योगदान कर रहा है. #RajnathWithJawans,1,0,0
2017-09-11T11:20:33,RaviRanjanIn,Ravi Ranjan रवि रंजन,आपने जम्मू-कश्मीर दौरे पर गृहमंत्री राजनाथ सिंह CRPF के 90 बटालियन के जवानों से मिले #RajnathWithJawans,4,0,5
2017-09-11T11:21:41,RaviRanjanIn,Ravi Ranjan रवि रंजन,"Rajnath Singh visits Anantnag, lauds bravery of security forces http://bit.ly/2wTBWEV  #RajnathWithJawans",1,0,0
2017-09-11T11:24:38,RaviRanjanIn,Ravi Ranjan रवि रंजन,Aim to provide Rs 1 cr to families of troopers killed on duty: Rajnath Singh http://bit.ly/2wUedES  #RajnathWithJawans,1,0,1
2017-09-11T11:27:09,RaviRanjanIn,Ravi Ranjan रवि रंजन,I am sure jawans will make Kashmir ‘Jannat’ again: HM Rajnath Singh #RajnathWithJawans,1,0,3
2017-09-11T11:28:09,RaviRanjanIn,Ravi Ranjan रवि रंजन,India is playing a leading role in Disaster Management in the south Asian region. #RajnathWithJawans,4,0,3
2017-09-11T11:30:12,RaviRanjanIn,Ravi Ranjan रवि रंजन,Green shoots of peace in #Kashmir: #RajnathSingh http://bit.ly/2wUCASY …  #RajnathWithJawans,0,0,3
2017-09-11T11:32:47,RaviRanjanIn,Ravi Ranjan रवि रंजन,"कश्मीर में अमन और खुशहाली के लिए जो संभव होगा,हम करेंगे: राजनाथhttp://bit.ly/2wTE9QJ 
@rajnathsingh @JagranNews #RajnathWithJawans",0,0,1
2017-09-11T11:34:25,RaviRanjanIn,Ravi Ranjan रवि रंजन,Five new India Reserve Battalions have been sanctioned #RajnathWithJawans,0,0,1
2017-09-11T11:37:14,RaviRanjanIn,Ravi Ranjan रवि रंजन,HM has now reached the 152 Battalion camp of @BSF_India in Nowshera. He will interact with BSF jawans #RajnathWithJawanspic.twitter.com/HUT4L6xmWj,0,0,1
2017-09-11T11:39:29,RaviRanjanIn,Ravi Ranjan रवि रंजन,HM has reached the Army camp at Nowshera in Rajouri. He met the Army jawans at the camp #RajnathWithJawanspic.twitter.com/VfhYyjnfPJ,8,0,15
2017-09-11T11:45:10,RaviRanjanIn,Ravi Ranjan रवि रंजन,#RajnathWithJawanspic.twitter.com/pzPmFukAds,0,0,2
2017-09-11T11:46:42,RaviRanjanIn,Ravi Ranjan रवि रंजन,Home Minister #RajnathSingh arrives in Jammu. He is on a four day visit to #RajnathWithJawans,0,0,2
2017-09-11T11:52:00,RaviRanjanIn,Ravi Ranjan रवि रंजन,जम्मू एवं कश्मीर पुलिस के जवान देश लिए बलिदान दे रहे: राजनाथ सिंह http://bit.ly/2wVLsYu  #RajnathWithJawans,2,0,2
2017-09-11T11:57:48,RaviRanjanIn,Ravi Ranjan रवि रंजन,"जम्मू कश्मीर में राजनाथ ने कहा, बुलेट प्रूफ जैकेट और गाड़ियों से जवानों को लैस किया जाएगा http://bit.ly/2wUulGn  #RajnathWithJawans",25,2,43
