timestamp,user,fullname,text,retweets,replies,likes
2017-09-10T07:26:27,SureshChavhanke,Suresh Chavhanke STV,http://fb.me/64k9V0JED ,1,2,20
2017-09-10T09:06:21,SureshChavhanke,Suresh Chavhanke STV,"जयपुर में #रोहिंग्या_मुस्लिम कि जाँच शुरू कि तो 25000 हज़ार कि भीड़ ने पुलिस थाने को घेर लिया।आगज़नी कि,इशारा है... http://fb.me/7SqXtgHLN ",131,86,182
2017-09-10T11:38:15,SureshChavhanke,Suresh Chavhanke STV,पाकिस्तानी पैसे पर जीवित मौलाना ही दिखा रहे ताव वरना अयोध्या तो श्री राम जी की ही है - शिया मुस्लhttp://fb.me/1CObpnHY6 ,90,12,207
2017-09-10T11:38:55,SureshChavhanke,Suresh Chavhanke STV,टी वी पर गौ मांस खा कर आखिर क्या और किसे दिखाना चाहती थी दक्षिण की ये तथाकथित टी वी अदाकारा ?http://fb.me/LqTmnekZ ,156,79,223
2017-09-10T11:42:50,SureshChavhanke,Suresh Chavhanke STV,"ये भारत A R रहमान का तब तक था जब तक कर्नाटक में संघ कार्यकर्ता मारे गए, पर अब नही.. ऐसा क्यों ?http://fb.me/7sQ0Ysvhb ",222,45,316
2017-09-10T12:16:03,SureshChavhanke,Suresh Chavhanke STV,इस लिए हम कह रहे है #DeportRohingyahttps://twitter.com/me_sourish/status/906755681872527360 …,81,17,106
2017-09-10T12:56:54,SureshChavhanke,Suresh Chavhanke STV,Plz watch #BindasBol on 8pm with Ground zero report and videos on #Jaipur connection with #Rohingya #DeportRohingya,1,2,1
2017-09-10T13:54:45,SureshChavhanke,Suresh Chavhanke STV,http://fb.me/8NR1hYPoq ,7,8,21
2017-09-10T14:43:22,SureshChavhanke,Suresh Chavhanke STV,Facebook live on #Rohingya & #Jaipur riot Conection ##BindasBol with Suresh Chavhanke http://fb.me/3JyA1wq1u ,39,23,91
2017-09-10T17:00:55,SureshChavhanke,Suresh Chavhanke STV,Itni shakti hame dena data-Ankushhttp://fb.me/25BqNyUK6 ,6,22,52
2017-09-10T17:30:36,SureshChavhanke,Suresh Chavhanke STV,#शुभरात्रि मित्रों ! मन में दुर्भावना रख कर मीठे बोलने से अच्छा है मन में सद्भावना रख कर कड़वा बोलना ! #BindasBol ना #GoodNightpic.twitter.com/EMMvT0eCAg,47,51,165
2017-09-10T17:36:27,SureshChavhanke,Suresh Chavhanke STV,Cc @pbhushan1 @ShashiTharoor @OfficeOfRG @Malala @PTI_News @INCIndia @airnewsalerts @ANI @SudarshanNewsTV #DeportRohinga #रोहिंग्या_भगाओhttps://twitter.com/fbhutto/status/904449658587459584 …,69,27,136
2017-09-11T02:16:12,SureshChavhanke,Suresh Chavhanke STV,"प.पु.सरसंघचालक मोहन भागवत जी को जन्मदिन की शुभकामनायें, समाज और राष्ट्र के प्रति आपके योगदान से आप के कार्यकाल में हिंदुत्व मज़बूत हो रहा हैpic.twitter.com/M9ybITSTW0",256,116,984
2017-09-11T06:18:50,SureshChavhanke,Suresh Chavhanke STV,11 सितम्बर- जन्मदिन अमर बलिदान बिनोय कृष्ण. जानिये उस दूसरे चन्द्रशेखर आज़ाद के बारे में जो जीवितhttp://fb.me/IioGf8FS ,44,9,112
2017-09-11T06:23:14,SureshChavhanke,Suresh Chavhanke STV,"हरियाण बवाल की भरपाई गुरमीत की सम्पत्ति से हुई, अच्छा हुआ! अब जयपुर दंगो की भरपाई दोषी मुसलमानों की जायदाद से होhttp://fb.me/3PIneFcsy ",0,0,0
2017-09-11T06:24:29,SureshChavhanke,Suresh Chavhanke STV,मेहबूबा सरकार हुई रोहिंग्या पर मेहरबान. बौद्धों के कातिलों को दिया जा रहा बिजली और पानीhttp://fb.me/1naOfkARy ,210,120,321
