timestamp,user,fullname,text,retweets,replies,likes
2017-09-15T20:59:38,TheAshokSingh,Ashok Singh  🇮🇳,Muslim girl gets pulled out of her school as she was reciting Gita there #Secular kaha hoo bahut intolerance hogayahttp://www.opindia.com/2017/09/muslim-girl-gets-pulled-out-of-her-school-as-she-was-reciting-gita-there/amp/ …,82,1,44
2017-09-15T21:05:35,TheAshokSingh,Ashok Singh  🇮🇳,"TOP athletes to get monthly stipend of Rs 50,000 #gudnews so that they can focus in there sports",4,0,3
2017-09-15T21:10:47,TheAshokSingh,Ashok Singh  🇮🇳,Aadhaar to be linked Driver's licence. Govt should demolish all cards @narendramodi,57,1,23
2017-09-15T21:15:37,TheAshokSingh,Ashok Singh  🇮🇳,"CBI Should Question me, Not Harass my Son: P Chidambaram #bap beta  amma wife all Chor co abhi tho Grill bakhi hee http://www.news18.com/amp/news/politics/cbi-should-question-me-not-harass-my-son-p-chidambaram-1519367.html …",49,0,9
2017-09-15T22:01:53,TheAshokSingh,Ashok Singh  🇮🇳,Apkha bhi number ayega or sabhi fam members ka bhi Chor co,0,0,1
2017-09-15T22:04:16,TheAshokSingh,Ashok Singh  🇮🇳,60 yrs congress corrupt looted murders etc all #pappus,0,0,0
2017-09-15T22:04:59,TheAshokSingh,Ashok Singh  🇮🇳,Pappus of congress suffering haha ,0,0,0
2017-09-15T22:07:21,TheAshokSingh,Ashok Singh  🇮🇳,All due to incompetent corrupt congress 60 yrs rule,0,0,0
2017-09-16T11:03:17,TheAshokSingh,Ashok Singh  🇮🇳,"Adhar should be connected with all so no one can fool http://around.bank  ,tax ,real estate ,votecard ,.........",1,0,1
2017-09-16T11:21:32,TheAshokSingh,Ashok Singh  🇮🇳,@narendramodi @HMOIndia @AmitShah @ChouhanShivrajhttps://twitter.com/vishvmtiwari/status/908955631461138432 …,9,0,6
2017-09-16T18:54:48,TheAshokSingh,Ashok Singh  🇮🇳,,1,1,0
2017-09-16T19:00:28,TheAshokSingh,Ashok Singh  🇮🇳,जन्मदिवस की हार्दिक शुभकामनाएँ @narendramodi ji God give your more strength to deal with mission #NewIndia #1.2billion Indians with you,46,0,25
2017-09-16T20:21:11,TheAshokSingh,Ashok Singh  🇮🇳,India slapped OIC for interfering internal affairs Enough we tolerated OIC remarks on J&K,32,1,8
2017-09-16T20:24:23,TheAshokSingh,Ashok Singh  🇮🇳,,1,0,0
2017-09-16T20:33:31,TheAshokSingh,Ashok Singh  🇮🇳,VHP says Construction of  Ram temple at Ayodhya will begin in 2018 jai hoo @BJP4India,40,1,16
2017-09-16T20:39:58,TheAshokSingh,Ashok Singh  🇮🇳,Narmada Dam was laid on1961 by Nehru It took 56years to complete @INCIndia yeh development hee ya vikas kariya meh pocket bharna @OfficeOfRG,63,4,30
2017-09-17T12:28:41,TheAshokSingh,Ashok Singh  🇮🇳,Om shanti Om,1,0,0
2017-09-17T12:55:29,TheAshokSingh,Ashok Singh  🇮🇳,"2014 meh acchedin agaye  abh tho hamhe acchedin continue rakhna hee 2019 , 2024 ",11,0,20
2017-09-17T12:58:03,TheAshokSingh,Ashok Singh  🇮🇳,Agra meh nahi chalega bhagwa see dar lagtha hee congress kho ,2,0,0
2017-09-17T13:02:28,TheAshokSingh,Ashok Singh  🇮🇳,indian economy: India likely to be 3rd largest economy by 2028: HSBC report  #gudnews more opportunities more jobs  http://m.economictimes.com/news/economy/indicators/india-likely-to-be-3rd-largest-economy-by-2028-hsbc-report/amp_articleshow/60718420.cms …,50,0,21
2017-09-17T13:03:24,TheAshokSingh,Ashok Singh  🇮🇳,"Stalker kidnaps, tortures woman - Pune Mirror http://punemirror.indiatimes.com/pune/civic/stalker-kidnaps-tortures-woman/amp_articleshow/60124857.cms …",33,0,7
2017-09-17T13:05:12,TheAshokSingh,Ashok Singh  🇮🇳,Bodh Gaya temple attack 'was revenge for Rohingyas' | Daily Mail Online #secular kaha hoohttp://www.dailymail.co.uk/indiahome/indianews/article-2534250/Bodh-Gaya-temple-attack-revenge-Rohingyas.html …,358,6,196
2017-09-17T14:16:08,TheAshokSingh,Ashok Singh  🇮🇳,pappus of congress Pizza Pasta co,0,0,0
2017-09-17T23:00:36,TheAshokSingh,Ashok Singh  🇮🇳,"Man who ran kidney rackets for 20 years held, yet again - The Times of India on Mobilehttp://m.timesofindia.com/city/dehradun/man-behind-series-of-kidney-rackets-arrested-yet-again/amp_articleshow/60715949.cms …",66,0,23
2017-09-18T08:53:55,TheAshokSingh,Ashok Singh  🇮🇳,Vijay Mallya assets: Rs 100-crore shares transferred to central govt – The Indian Express #gudnewshttp://indianexpress.com/article/business/companies/vijay-mallya-assets-kingfisher-money-laundering-act-pmla-rs-100-cr-shares-transferred-to-central-govt-4848604/lite/ …,84,3,33
2017-09-18T08:57:58,TheAshokSingh,Ashok Singh  🇮🇳,"Khalistani group Khalsa Aid is collecting money for Rohingyas at Shri Bangla Sahib,Delhi.They claimed donating 20Lacs perday @TajinderBagga",95,8,35
2017-09-18T11:55:38,TheAshokSingh,Ashok Singh  🇮🇳,सतत नमन जय हिंद ,1,0,0
2017-09-18T12:05:22,TheAshokSingh,Ashok Singh  🇮🇳,@vinayrv00 open dm,0,0,0
2017-09-18T14:09:42,TheAshokSingh,Ashok Singh  🇮🇳,Congratulations Govt files affidavit in SC & says Rohingyas have to deported for national security #fix ,86,1,44
2017-09-18T15:46:43,TheAshokSingh,Ashok Singh  🇮🇳,Congrats ,1,0,0
2017-09-18T15:48:22,TheAshokSingh,Ashok Singh  🇮🇳,,1,0,2
2017-09-18T15:48:42,TheAshokSingh,Ashok Singh  🇮🇳,,0,0,0
2017-09-18T20:46:45,TheAshokSingh,Ashok Singh  🇮🇳,@anti_conversion open dm then I can add you,0,0,0
2017-09-18T21:05:18,TheAshokSingh,Ashok Singh  🇮🇳,Madrassa Chacha Nehru Aligarh is run by Al Noor Charitable Society headed by Salma Ansari wife of Hamid Ansari sure conspiracy to blame govt,55,2,25
2017-09-18T21:10:26,TheAshokSingh,Ashok Singh  🇮🇳,Ansari with high education but Madrasa for other Muslims?Wife VP runs Madrasa she could have ran School for Muslims children #2keepVotebank,46,0,14
