timestamp,user,fullname,text,retweets,replies,likes
2017-09-17T00:57:58,VijayMittal2512,Vijay Mittal,देशके यशस्वी श्री नरेंद्र मोदीजी को जन्मदिन की हार्दिक बधाई व शुभकामनाएँ !करोड़ो के लाड़ले दिर्घायू हो-स्वस्थ रहे।मॉंभारती की सेवा करते रहेpic.twitter.com/vkk5pelCVW,5,1,5
2017-09-17T01:10:04,VijayMittal2512,Vijay Mittal,"मॉंभारती की सेवा मे दिनरात लगे @narendramodi को जन्मदिन की बधाई !हजारो सालो केबाद ऐसी पुण्य आत्मा जन्म लेती है,ह्रदय से उस आत्मा को प्रणामpic.twitter.com/XXrWyWNqGl",0,1,3
2017-09-17T01:43:14,VijayMittal2512,Vijay Mittal,"जिसने जन्म भारतमॉं की सेवा केलिए लिया हो,उसे आराम-चैन कहॉं?हम धन्य है ऐसा PMपाकर,हमे गर्व है @narendramodi हमारे PMहै,जन्मदिन की मुबारकबाद !pic.twitter.com/j3TuVj3atk",3,1,2
2017-09-17T06:50:11,VijayMittal2512,Vijay Mittal,@narendramodi #HappyBirthdayPM #HBDPeriyar,0,0,0
2017-09-17T06:50:28,VijayMittal2512,Vijay Mittal,@narendramodi #HappyBirthdayPM #HBDPeriyar,1,0,1
2017-09-17T06:50:39,VijayMittal2512,Vijay Mittal,@narendramodi #HappyBirthdayPM #HBDPeriyar,0,0,0
2017-09-17T07:00:46,VijayMittal2512,Vijay Mittal,"@narendramodi जी असाधारण शौर्य,वाकपटुता,चातुर्य,राजनीति,कुटनीति (जिनमे देशभक्ति व गरीब,असहाय,किसान,मजदूर केलिए कुछ करने की ललक है) के धनी है",3,1,6
2017-09-17T18:14:42,VijayMittal2512,Vijay Mittal,"जो लुटेरे सिर्फ #Gandhi छपे नोट को जानते हो व नकली गांधी वंश के गुलाम है,वे न असली गांधी को जानते है,न वे संस्कारित है। #ReportAbuserManish",3,1,1
2017-09-18T00:14:51,VijayMittal2512,Vijay Mittal,"आपकी बहुत इज्जत थी,जिंदगी भर की कमाई 2मिनट मे खो दी।आपको #HBDNarendramodi करने की बजाए #JumlaJayanti करके खुद का पतन किया,बाकि आप समझदार है",1,0,2
2017-09-18T05:12:26,VijayMittal2512,Vijay Mittal,"आपका @TwitterIndia पर स्वागत है,विजयराज जी ",0,1,1
2017-09-18T09:07:24,VijayMittal2512,Vijay Mittal,"@ManishTewari मानसिक के साथ-२ आर्थिक दिवालिया भी होगया है,कुछ जलने जैसी गंध भी आरही है।@INCIndia को १ट्रक बर्नोल मँगवाकर स्टाक मे रखनी चाहिए",1,2,0
2017-09-18T14:14:57,VijayMittal2512,Vijay Mittal,"अगर आप #ManishTiwari की गाली को गाली नही मानते तो आपका तर्क,तर्कहीन है।आचार्य वो होता है जिसके नाम के आगे आचार्य दूसरे लगाए,वो स्वयं नही",0,1,3
2017-09-18T14:54:19,VijayMittal2512,Vijay Mittal,#Gaali_Wali_Congress #ManishTiwari #ManishTewari,0,0,0
2017-09-18T14:55:00,VijayMittal2512,Vijay Mittal,#ManishTewari #ManishTiwari #Gaali_Wali_Congress,0,0,0
