timestamp,user,fullname,text,retweets,replies,likes
2017-09-17T04:43:52,indiantweeter,अंकित जैन,#happybirthdayPM @narendramodi ji ... india is reaching great heights under your leadership.pic.twitter.com/MidUTk1OQs,21,6,137
2017-09-17T08:29:02,indiantweeter,अंकित जैन,Welcome to world cricket Team India.,1,3,9
2017-09-17T08:32:50,indiantweeter,अंकित जैन,Oh god. Hey Bhagwan. #IndVSAus,0,0,1
2017-09-17T08:35:08,indiantweeter,अंकित जैन,What a shot! #IndVAus,1,2,7
2017-09-17T09:08:36,indiantweeter,अंकित जैन,India's external debt down by 3% to 472 billion dollars. Amazing :)pic.twitter.com/kaBQzKALaT,33,1,43
2017-09-17T09:10:49,indiantweeter,अंकित जैन,37 K followers. Thank you guys ,2,10,51
2017-09-17T09:29:40,indiantweeter,अंकित जैन,Special thanks to @ndtv https://twitter.com/indiantweeter/status/909343876057583616 …,7,4,46
2017-09-17T09:33:41,indiantweeter,अंकित जैन,Bol diya bhai ,0,1,1
2017-09-17T09:35:22,indiantweeter,अंकित जैन,pic.twitter.com/ha3afHobTE,9,7,25
2017-09-17T09:39:17,indiantweeter,अंकित जैन,Wah wah,0,0,0
2017-09-17T09:39:56,indiantweeter,अंकित जैन,pic.twitter.com/NB6iilZH2H,0,0,1
2017-09-17T09:42:09,indiantweeter,अंकित जैन,Hatred makes a man blind,0,3,3
2017-09-17T09:47:23,indiantweeter,अंकित जैन,I got 15 out of 15! How do you measure up?https://www.buzzfeed.com/soniathomas/quiz-apna-apna?utm_term=.pvaPYDoZx#11796304&rid=354649673 …,3,0,8
2017-09-17T09:48:16,indiantweeter,अंकित जैन,luck favours the brave,0,0,0
2017-09-17T09:51:55,indiantweeter,अंकित जैन,,0,0,1
2017-09-17T09:52:21,indiantweeter,अंकित जैन,Mehta and group wala question was a trick question.,0,2,1
2017-09-17T10:32:20,indiantweeter,अंकित जैन,"No Mehta and group was right answer, Mehta group ke under Mehta textiles thi",0,2,0
2017-09-17T10:55:40,indiantweeter,अंकित जैन,Tell : Amar claimed to be prince of which state in front of Raveena and Karishma?,0,2,0
2017-09-17T11:06:21,indiantweeter,अंकित जैन,Thank you didi :),0,0,1
2017-09-17T11:38:38,indiantweeter,अंकित जैन,Hypocrites like these  @TheQuintpic.twitter.com/fnm4eSIK1r,143,11,138
2017-09-17T11:42:15,indiantweeter,अंकित जैन,Hi @HindustaniTweet kaise hain? @RaviRanjanIn #Dhoni50,1,1,5
2017-09-17T11:44:22,indiantweeter,अंकित जैन,Even questions like these have smacks of anti real feminism.,0,1,2
2017-09-17T11:45:01,indiantweeter,अंकित जैन,Luck favours the brave ,0,1,1
2017-09-17T11:53:40,indiantweeter,अंकित जैन,Ek aur padega,0,2,0
2017-09-17T11:54:22,indiantweeter,अंकित जैन,Lucky six,1,1,1
2017-09-17T11:56:42,indiantweeter,अंकित जैन,So what's wrong with Bol na aunty aaun Kya song?,0,1,2
2017-09-17T12:02:51,indiantweeter,अंकित जैन,"Hi Rega, hypocrisy just called to say Hi.pic.twitter.com/SHNgwK9NgA",0,1,5
2017-09-17T12:04:49,indiantweeter,अंकित जैन,What kind of hatred is this.,0,2,2
2017-09-17T12:07:21,indiantweeter,अंकित जैन,"Dhoni mentored Pandya, played knocks to let Hardik Pandya take the charge. Still gets the blame.",4,3,22
2017-09-17T12:08:20,indiantweeter,अंकित जैन,And Ms also helped? MS was an important pillar in this innings.,0,0,1
2017-09-17T12:19:05,indiantweeter,अंकित जैन,Sometimes mentoring your companion is better than showing aggression and losing your wicket.,3,0,3
2017-09-17T12:54:25,indiantweeter,अंकित जैन,"Rajnath singh has facts on his hand to make this statement, this has been bloodiest era for terrorists and naxals.",0,2,1
2017-09-17T12:55:12,indiantweeter,अंकित जैन,"Surgical strikes across Pakistan and Myanmar borders, Strategic won in Doklam shows power of new regime.",0,1,0
2017-09-17T12:56:19,indiantweeter,अंकित जैन,"Almost 95% Assam Bangladesh border has been fenced, work on india pak border going on.. RNS is the best home minister india has ever had.",0,0,0
2017-09-17T12:57:39,indiantweeter,अंकित जैन,I don't mind honest criticism of any leader india progress bhai's isn't one of them.,0,0,0
2017-09-17T13:55:30,indiantweeter,अंकित जैन,"Govt of India can generate 50,000 crore revenue per year if Waqf board properties are taken over and managed professionally.",66,2,73
2017-09-17T13:58:44,indiantweeter,अंकित जैन,Value of Waqf properties in 6 metro cities alone is worth 1.5 lakh crores (according to circle rates and can be much higher),16,1,19
2017-09-17T15:02:34,indiantweeter,अंकित जैन,Farrago of distortions and misrepresentation.https://twitter.com/manishtewari/status/909430641485385728 …,15,0,36
2017-09-17T16:09:22,indiantweeter,अंकित जैन,Lol,0,2,1
2017-09-17T16:19:20,indiantweeter,अंकित जैन,Agreed,0,0,1
2017-09-17T17:04:30,indiantweeter,अंकित जैन,Electric atmospherepic.twitter.com/XyUhr0ra8h,1,2,6
2017-09-17T18:18:41,indiantweeter,अंकित जैन,If people don't follow @MePurplelicious they are missing on a pure heart and amazing person.,0,3,7
2017-09-17T18:20:37,indiantweeter,अंकित जैन,If you are not following @Marwaari you are not following my elder brother,0,5,1
2017-09-17T18:21:20,indiantweeter,अंकित जैन,If you are not following  @Fuljhadii you are missing hell lot of awesomeness,1,2,1
2017-09-17T18:26:00,indiantweeter,अंकित जैन,Arre,0,0,1
2017-09-18T03:42:02,indiantweeter,अंकित जैन,Humare Maddy bhaiya ko Pradhansevak ne follow kar liya aap bhi karein @AjiHaaan ko,0,3,11
2017-09-18T03:45:14,indiantweeter,अंकित जैन,People are advertising RERA certificate numbers in newspaper ads.,1,0,3
2017-09-18T03:51:23,indiantweeter,अंकित जैन,@TrulyMonica happpy wala happy birthday Beb ,0,1,1
2017-09-18T04:02:45,indiantweeter,अंकित जैन,Congress people are actually claiming stake on a project started 56 years ago and completed in 2017. I mean what the F.,17,0,30
2017-09-18T04:24:32,indiantweeter,अंकित जैन,Adani is a defaulter? You sure?https://twitter.com/pbhushan1/status/909603133613006848 …,15,2,23
2017-09-18T04:26:55,indiantweeter,अंकित जैन,@rajnathsingh is freeing India from clutches of foreign agencies.https://twitter.com/bhartijaintoi/status/909265514848968705 …,3,1,7
2017-09-18T04:31:51,indiantweeter,अंकित जैन,"Flagship infra projects of modi govt are going on at a blistering pace, will be completed by 2018 end.",7,5,24
2017-09-18T04:38:46,indiantweeter,अंकित जैन,Arre wah. ,1,0,10
2017-09-18T04:43:37,indiantweeter,अंकित जैन,And @Uppolice has declared a war on criminals. @myogiadityanath's promise to clean up UP has started showing results.,19,4,34
2017-09-18T04:47:30,indiantweeter,अंकित जैन,Encounter,0,1,1
2017-09-18T04:48:24,indiantweeter,अंकित जैन,"And if you want to know what UP police is doing now, watch the movie Sehar starring @ArshadWarsi",2,0,9
2017-09-18T04:50:07,indiantweeter,अंकित जैन,"Govt Banks gave 185000 crore loan to Adani-Ambani under UPA, why mislead people?",13,4,25
2017-09-18T04:51:56,indiantweeter,अंकित जैन,@aaliznat Arre belated happy birthday Devi ji. Ye naye saal mein we won't debate on anything ok?,0,1,0
2017-09-18T04:53:17,indiantweeter,अंकित जैन,Not even remotely defaulting the loans.,0,0,2
2017-09-18T04:57:31,indiantweeter,अंकित जैन,Tere emojis se tere tweets funny nahi hote Samajhta kyun nahi haihttps://twitter.com/akashbanerjee/status/909616726433783810 …,9,1,19
2017-09-18T04:59:38,indiantweeter,अंकित जैन,,0,0,0
2017-09-18T05:03:23,indiantweeter,अंकित जैन,Is this true?,0,0,0
2017-09-18T05:04:24,indiantweeter,अंकित जैन,Sanjay jha generates gas from his Gobar thoughts. https://twitter.com/jhasanjay/status/909637289852243968 …,93,15,260
2017-09-18T05:05:52,indiantweeter,अंकित जैन,Did PM follow ravish kumar?,2,6,6
2017-09-18T05:07:17,indiantweeter,अंकित जैन,"20k jobs is a conservative estimate, all bullet train station cities will see massive development because of superb infra passing thru.https://twitter.com/bjp4india/status/909634614435577857 …",5,0,18
2017-09-18T05:19:10,indiantweeter,अंकित जैन,"None of the three service chiefs, Prime minister, defence minister attended Sam Manekshaw's funeral in 2008. See the Difference.",35,4,48
2017-09-18T05:22:30,indiantweeter,अंकित जैन,Yes sir,1,0,1
2017-09-18T05:29:23,indiantweeter,अंकित जैन,Party do,0,1,0
2017-09-18T05:31:59,indiantweeter,अंकित जैन,Accept my profound apologies bhai but these people have pushed India backwards.,0,1,4
2017-09-18T05:38:55,indiantweeter,अंकित जैन,"Remember these faces,these people deprived farmers from Realising their potential and millions of people of water for their vested interestspic.twitter.com/XJGa2IuJrT",944,30,611
2017-09-18T05:47:39,indiantweeter,अंकित जैन,"Supreme court's judgement on Sardar Sarovar dam, these scums and their NGOs took poor people for a ride for their five star activism.pic.twitter.com/PIrRmEZQDn",93,2,63
2017-09-18T06:19:32,indiantweeter,अंकित जैन,So good to see @AkbaruddinIndia ... we miss you sir.https://twitter.com/ddnewshindi/status/909592824684756992 …,8,0,12
2017-09-18T06:24:23,indiantweeter,अंकित जैन,"कहते थे PM जिनको फ़ॉलो करते हैं वो गाली देते हैं, कहते थे PM हमें फ़ॉलो कर लें हम गाली नहीं देते, रवीश बाबू ये स्क्रीन्शॉट युग हैpic.twitter.com/lLQIYnHNKe",28,4,40
2017-09-18T06:28:47,indiantweeter,अंकित जैन,Pradhan mantri ke Niji jeewan ke baare mein ApmanJanak tippanni karna Kya hai?,0,1,2
2017-09-18T06:40:56,indiantweeter,अंकित जैन,Koi tumhe Gaali dega toh palat ke modi ko gaali doge?,0,1,0
2017-09-18T07:00:41,indiantweeter,अंकित जैन,Threadhttps://twitter.com/thinkerspad/status/909653814537605120 …,7,0,10
2017-09-18T07:02:59,indiantweeter,अंकित जैन,Someone in his mentions called him कुपोषित कीड़ा ,5,2,33
2017-09-18T07:17:10,indiantweeter,अंकित जैन,Sending NGO website links https://twitter.com/nazirology/status/909672791997341696 …,5,2,7
2017-09-18T10:30:38,indiantweeter,अंकित जैन,Because @SrBachchan is a Inclined towards BJP he will have to face all kinds of absurd criticism.pic.twitter.com/Wv4noLrtA1,11,0,26
2017-09-18T10:45:28,indiantweeter,अंकित जैन,Shame,0,1,0
2017-09-18T11:06:08,indiantweeter,अंकित जैन,pic.twitter.com/Dhv6qTBAEK,0,10,8
2017-09-18T11:06:32,indiantweeter,अंकित जैन,Liberalism 101.pic.twitter.com/YdRs8lz8yD,40,10,44
2017-09-18T11:12:49,indiantweeter,अंकित जैन,Follow back Kya mil Gaya Faltu bolne lagi,0,0,0
2017-09-18T11:28:21,indiantweeter,अंकित जैन,Chahe Photo ke liye hee Jaaye agar Kisi ki help ho rahi hai toh Buraai Kya haihttps://twitter.com/duluthkorn/status/909507136283066368 …,2,3,3
2017-09-18T12:00:02,indiantweeter,अंकित जैन,Follow him for most awesome threads on various subjects. This thread is awesome.https://twitter.com/pulkitmishra007/status/909495862023168000 …,3,1,5
2017-09-18T12:02:36,indiantweeter,अंकित जैन,Companies like Uber and Amazon have adapted Indian values more than their Indian competitors Flipkart and Ola.,15,4,47
2017-09-18T12:18:28,indiantweeter,अंकित जैन,Investments ki baat nahi hai.. Amazon bolta hai apni Dukaan Uber Rishton ki Ahemiyat samjhata hai... it is the way to do business,0,1,0
2017-09-18T15:30:21,indiantweeter,अंकित जैन,Kolkata speech wala video dekha Kisi ne,0,9,8
2017-09-18T15:39:16,indiantweeter,अंकित जैन,"Ndtv sale completed, see their share price chart of last few days.",12,5,30
2017-09-18T15:39:33,indiantweeter,अंकित जैन,18 Feb,0,0,1
2017-09-18T15:41:45,indiantweeter,अंकित जैन,https://www.facebook.com/ICantKeepQuietAnymore/videos/937291366422180/ …,4,0,1
2017-09-18T15:55:52,indiantweeter,अंकित जैन,Brawlinder this is not done,0,2,1
2017-09-18T16:47:57,indiantweeter,अंकित जैन,@SupraMario Tere toh Lanter lag gaye bhaihttps://twitter.com/thequint/status/909819946414202880 …,2,2,1
2017-09-18T16:59:29,indiantweeter,अंकित जैन,Wishing death for person you hate? What's more classless than this?,0,1,0
2017-09-18T17:01:26,indiantweeter,अंकित जैन,No both are correlated.,0,0,0
2017-09-18T17:08:29,indiantweeter,अंकित जैन,Peer pressurepic.twitter.com/3DezDQvLdt,4,6,51
2017-09-18T17:29:31,indiantweeter,अंकित जैन,pic.twitter.com/7fFistQSLd,1,1,10
2017-09-18T17:44:27,indiantweeter,अंकित जैन,"Spicy And jet fast news, NDTV sold.",10,18,33
2017-09-18T17:54:41,indiantweeter,अंकित जैन,And this? You lying piece of shit.pic.twitter.com/AfZoZqYFnv,1,0,4
2017-09-18T18:01:25,indiantweeter,अंकित जैन,pic.twitter.com/DjZA86H9ag,17,1,12
2017-09-18T18:20:21,indiantweeter,अंकित जैन,"Encounter specialist Pradeep sharma sacked by congress govt, reinstated by BJP govt arrests Dawood's brother Iqbal Kaskar.",493,13,633
2017-09-18T18:30:32,indiantweeter,अंकित जैन,फट के कॉलिफ़्लॉवर हो gayipic.twitter.com/2yb47qUagR,9,4,30
2017-09-19T06:46:58,indiantweeter,अंकित जैन,@Smhing_ happy birthday!,0,0,1
2017-09-19T06:48:24,indiantweeter,अंकित जैन,Standing ovationpic.twitter.com/NJJhBBntnF,23,2,180
