timestamp,user,fullname,text,retweets,replies,likes
2017-09-02T06:56:28,jeetensingh,Jeetendra Singh,"Terror attack on Eid - Right !
Stone pelting on Eid - Right !
But
Terrorist arrest on Eid - Wrong !!https://twitter.com/Shehla_Rashid/status/903837580336160768 …",94,6,97
2017-09-02T06:57:15,jeetensingh,Jeetendra Singh,"Terror attack on Eid - Right !
Stone pelting on Eid - Right !
But
Terrorist arrest on Eid - Wrong !!",32,1,55
2017-09-02T07:09:32,jeetensingh,Jeetendra Singh,"#मिट्टी_का_बकरा  ट्रेन्ड हो रहा है
#सही_का_बकरा हलाल हो रहा है
ये कैसा खूनी त्योहार मुबारक हो रहा है ?
#EidMubarak
#EidAlAdha",62,6,88
2017-09-03T03:55:12,jeetensingh,Jeetendra Singh,Great message ! ,0,0,4
2017-09-03T08:52:30,jeetensingh,Jeetendra Singh,"It's firsttime #reshuffle in cabinet based on the expertise and performance !
My MP get outed !
No caste,religion&gender.
#CabinetResufflepic.twitter.com/e9o1Qi2Y6K",45,1,45
2017-09-03T09:08:11,jeetensingh,Jeetendra Singh,@vikasbha रूडी जी ?,0,0,0
2017-09-03T10:42:23,jeetensingh,Jeetendra Singh,"अपनी भागी हुई बीवी की चिंता नही, बहनोई नीतीश की फिक्र ज्यादा है ।https://twitter.com/DubeyAbhay_/status/904285960942247936 …",93,10,123
2017-09-03T10:42:58,jeetensingh,Jeetendra Singh,"अपनी भागी हुई बीवी की चिंता नही, बहनोई नीतीश की फिक्र ज्यादा है ।",8,3,12
2017-09-03T12:22:03,jeetensingh,Jeetendra Singh,जमीन लेके मंत्री बनाने से ही भैंसिया जमीन बियायेगी !https://twitter.com/laluprasadrjd/status/904269346561712132 …,47,0,43
2017-09-03T12:22:46,jeetensingh,Jeetendra Singh,जमीन लेके मंत्री बनाने से ही भैंसिया जमीन बियायेगी !,1,0,11
2017-09-03T13:51:24,jeetensingh,Jeetendra Singh,पिता तुल्य वाला बन्दर कहां से आया ?https://twitter.com/laluprasadrjd/status/904228926326661121 …,44,10,65
2017-09-03T13:52:04,jeetensingh,Jeetendra Singh,पिता तुल्य वाला बन्दर कहां से आया ?,2,0,8
2017-09-03T17:12:37,jeetensingh,Jeetendra Singh,अले ई का ?? ,1,0,1
2017-09-04T01:39:09,jeetensingh,Jeetendra Singh,"आज श्री @narendramodi जी चीन में #BRICS सम्‍मेलन के उद्घाटन सत्र को संबोधित करेंगे और चीन में ही चीन का दुनियां से चिरहरण कराएंगे ।
जय हो ।।pic.twitter.com/VHC0VVdbYw",39,2,72
2017-09-04T01:44:25,jeetensingh,Jeetendra Singh,May lord Vishnu bless you with wonderful hervest of your deeds  and bring the happiness and prosperity you have ever wished for Happy Onam !pic.twitter.com/wJInZTmnPa,46,0,39
2017-09-04T02:35:29,jeetensingh,Jeetendra Singh,"Little knowledge is dangerous thing !
Think about Ex-PM
Manmohan Singh !!https://twitter.com/realkeerthi/status/904255374793908225 …",56,3,60
2017-09-04T02:36:50,jeetensingh,Jeetendra Singh,"Little knowledge is dangerous thing !
Think about Ex-PM Manmohan Singh !!",2,0,8
2017-09-04T03:57:09,jeetensingh,Jeetendra Singh,"गर्भ-धारण के कुछ संस्कार होते होंगे !
नही तो JNU में पढ़े हुए इन दोनों में आसमान पाताल का अन्तर न होता : 
निर्मला सीतारमण
और
कविता कृष्णनpic.twitter.com/RfqblB0NFS",313,27,500
2017-09-04T06:10:19,jeetensingh,Jeetendra Singh,जौहरी ने फेंक दिया तब दिल टूट गया,0,0,0
2017-09-04T12:02:05,jeetensingh,Jeetendra Singh,"रोहिंग्या मुस्लिमों को यूरोपीय देश में बसाने की कोई कार्यक्रम है क्या ? हमें तो अपने देश में कश्मीरी लोगों की वापसी....
@sardanarohit",110,1,141
2017-09-04T12:39:51,jeetensingh,Jeetendra Singh,"नौ जवान बेकार नही खबरदार है, ख़त्म हुआ भ्रष्टाचार का रोज़गार है देश में सुधार है और चीन में चीन को उसकी औकात बताने गयी ""भारत सरकार"" है.https://twitter.com/AcharyaPramodk/status/904576771198074881 …",87,15,95
2017-09-04T12:41:15,jeetensingh,Jeetendra Singh,"नौ जवान बेकार नही खबरदार है, ख़त्म हुआ भ्रष्टाचार का रोज़गार है देश में सुधार है और चीन में चीन को उसकी औकात बताने गयी ""भारत सरकार"" है.pic.twitter.com/FQu0aCa2N7",56,5,58
2017-09-04T14:42:59,jeetensingh,Jeetendra Singh,"चचा ! कांग्रेसी उम्मीदों को अब डार्लिंग @laluprasadrjd पूरा करेंगे, लालू पर भरोसा नई का ?
          तेजू पर भरोसा नई का ?https://twitter.com/digvijaya_28/status/904202462524989444 …",58,3,57
2017-09-04T14:43:36,jeetensingh,Jeetendra Singh,"चचा ! कांग्रेसी उम्मीदों को अब डार्लिंग @laluprasadrjd पूरा करेंगे, लालू पर भरोसा नई का ?
          तेजू पर भरोसा नई का ?",1,0,3
2017-09-04T15:31:06,jeetensingh,Jeetendra Singh,"बाप-बेटा घरवे में काहे नही बतियाते कही ""पिता-तुल्य"" वाला बतवा सही है का ?
कि तेजू पे भरोसा नही का ?
या तेजू को
पिता-तुल्य पे भरोसा नही का ?https://twitter.com/laluprasadrjd/status/904624401030582272 …",34,1,27
2017-09-04T15:31:48,jeetensingh,Jeetendra Singh,"बाप-बेटा घरवे में काहे नही बतियाते कही ""पिता-तुल्य"" वाला बतवा सही है का ?
कि तेजू पे भरोसा नही का ?
या तेजू को
पिता-तुल्य पे भरोसा नही का ?",4,1,6
