timestamp,user,fullname,text,retweets,replies,likes
2017-09-14T04:30:14,niku1630,nikunj shah  🇮🇳,UP govt stops grants to 46 madrasas for violating ‘teaching standards’ http://crwd.fr/2x2UDYB pic.twitter.com/tPkTkKJGWl,0,0,0
2017-09-14T04:30:25,niku1630,nikunj shah  🇮🇳,"Defence cooperation, dual-use technology on table at Abe-Modi meeting http://crwd.fr/2xlPI5E pic.twitter.com/otzLhIrGk0",0,0,1
2017-09-14T04:30:40,niku1630,nikunj shah  🇮🇳,"Like Xi Jinping, Shinzo Abe too gets a Modi jacket, from the same store http://crwd.fr/2x33qK6 pic.twitter.com/GRO0H2Slew",1,0,1
2017-09-14T04:35:23,niku1630,nikunj shah  🇮🇳,Please let's refrain from such tweets......,0,0,1
2017-09-14T04:45:49,niku1630,nikunj shah  🇮🇳,#BulletTrain4Growth Vision of speed and efficiency ! PM @narendramodi looking for faster growth of resurgent India ! @PiyushGoyal @PMOIndiapic.twitter.com/PIN7WJEkO6,1,0,3
2017-09-14T04:49:22,niku1630,nikunj shah  🇮🇳,Carrying forward one of the best ideas of PM @narendramodi ji ..... clean India for clean prosperity @AmitShah @anirbanganguly @PMOIndiahttps://twitter.com/arpitasutradhar/status/908190173795459074 …,1,0,1
2017-09-14T05:15:25,niku1630,nikunj shah  🇮🇳,"Thought for today ..   

Reform, transform and Perform is our second revolution after independence!!",0,0,1
2017-09-14T05:17:33,niku1630,nikunj shah  🇮🇳,To kick start economy ......reform in coal extraction industry provides an opportunity to do so ....can be a great catalyst for growth,0,0,3
2017-09-14T05:20:50,niku1630,nikunj shah  🇮🇳,"Let's be honest, nepotism is serious not just in politics,Bollywood and business,but also in great legal profession,dynasty rocks everywhere",3,0,2
2017-09-14T08:50:36,niku1630,nikunj shah  🇮🇳,I’m ready to engage with my 128 new followers in the past week. I know them viahttp://www.crowdfireapp.com/?r=tw ,0,0,1
2017-09-14T10:19:06,niku1630,nikunj shah  🇮🇳,Want to Teach Self-Driving Vehicles to Talk? Pretend You're a Car Seat http://crwd.fr/2x12JPN pic.twitter.com/VnyqkzyOto,0,0,0
2017-09-14T10:20:51,niku1630,nikunj shah  🇮🇳,"Bullet Train Project Launched, PM Thanks Japan's Abe For 'Gift': 10 Factshttp://www.ndtv.com/india-news/bullet-train-project-begins-today-cost-1-1-lakh-crores-your-10-point-guide-1750053 …",0,0,1
2017-09-14T10:37:43,niku1630,nikunj shah  🇮🇳,"The battle of ten kings, mystery of India .....Dr @Swamy39 @jagdishshetty @vhsindia @SreeIyer1 @pGurus1 @AseerAcharyhttp://www.themysteriousindia.net/amp/battle-ten-kings/ …",0,1,0
2017-09-14T10:49:32,niku1630,nikunj shah  🇮🇳,"Mera naam Tejashwi Yadav hai, Class 9 pass, he told investigators in James Bond style ..when seated across table from four investigators",0,0,1
2017-09-14T11:03:32,niku1630,nikunj shah  🇮🇳,"The Roxna Rollercoaster!,book tells story of dynamic nature of Dr. @Swamy39 's life&the world that swirls around him https://www.pgurus.com/the-roxna-rollercoaster/?amp_markup=1 …",1,0,1
2017-09-14T11:06:02,niku1630,nikunj shah  🇮🇳,"Bullet train project: 'This shows the aspirations of new India, one that is flying high', says PM Modihttp://toi.in/_PseYY/a20ci ",1,0,1
2017-09-14T13:41:45,niku1630,nikunj shah  🇮🇳,"Waiting for separatist & anti india brigade to come out in support of Amarnath attack master mind #Abu Ismail who was killed today,big catch",0,0,1
2017-09-14T13:44:22,niku1630,nikunj shah  🇮🇳,Perfect in sync pic.twitter.com/3kRzizGAQ8,0,0,0
2017-09-14T14:03:02,niku1630,nikunj shah  🇮🇳,So true..........pic.twitter.com/0RviKuCUIq,1,0,2
2017-09-14T14:17:58,niku1630,nikunj shah  🇮🇳,"Fact check,presstitutes under the instruction of eco system head AP wld do anything 2see the back of Modi ji,spread lies for political gainspic.twitter.com/lQTAJpCdSL",0,0,1
2017-09-15T01:27:04,niku1630,nikunj shah  🇮🇳,Wishing Dr @Swamy39 a very happy birthday.God bless you with good health&happiness to take this great country forward under ur able guidancepic.twitter.com/LFwfK1fu6Z,14,1,8
2017-09-15T01:30:30,niku1630,nikunj shah  🇮🇳,Dr @Swamy39 a very happy birthday.God bless u with good health&happiness 2take this great country forward under ur able guidance #SwamyRockspic.twitter.com/tLtAOYQTZd,25,5,25
2017-09-15T02:05:56,niku1630,nikunj shah  🇮🇳,"Come what may, Dr @Swamy39 is always smiling&spreading happiness with his honesty&integrity #SwamyRocks nation needs ur service 4a long timepic.twitter.com/jZOGOKGf0L",15,0,23
2017-09-15T03:11:47,niku1630,nikunj shah  🇮🇳,"Dr @Swamy39 ..Building a young nation of character, patriotic,self-reliant individuals of high character and social consciences #SwamyRockspic.twitter.com/30rpFuPz8c",19,0,24
2017-09-15T03:22:54,niku1630,nikunj shah  🇮🇳,Look what's trending at no 1 #SwamyRocks @AShetty84 @jagdishshetty @vhsindia @vhs_karnataka @VHS_Delhi_NCR @VHS_Assam @VHS_Punjabpic.twitter.com/5ja5kYOKeU,9,1,13
2017-09-15T03:27:18,niku1630,nikunj shah  🇮🇳,"Glad 2share that Japanese First Lady Akie,visited blind ppl assctn, reflects how world ldrs r aligned 2 Empowering of Specially Abled Peoplepic.twitter.com/oq24F0xIz7",0,0,3
2017-09-15T03:38:25,niku1630,nikunj shah  🇮🇳,"Dear @MrsGandhi a very happy birthday and God bless you with good health, wealth and lots of happiness! Have a great day and year ahead! JSK",0,0,0
2017-09-15T03:57:47,niku1630,nikunj shah  🇮🇳,....pic.twitter.com/HSW11IPiI1,1,0,1
2017-09-15T04:20:58,niku1630,nikunj shah  🇮🇳,Baap ka raj nahi hai beta>>>>PC's son BC refuses to appear before #CBI in Aircel case! Karti Investigation is still on for your kind info !,3,0,3
2017-09-15T04:27:04,niku1630,nikunj shah  🇮🇳,"Thought for today >>>>>>>
The tax collector must love poor people, he's creating so many of them !!!!",0,0,0
2017-09-15T04:30:56,niku1630,nikunj shah  🇮🇳,"In today's economic context,govt must lower petroleum taxes&put more money in the hands of households&enterprises.Resulting economic growth",0,0,0
2017-09-15T04:44:54,niku1630,nikunj shah  🇮🇳,"Modi's personal diplomacy at its best its helps India&Japan share great strategic convergence, growing economic interests& biz-biz conntn",0,0,0
