timestamp,user,fullname,text,retweets,replies,likes
2017-09-14T15:48:26,rahulroushan,Rahul Roushan,In which @CW_dynastycrook warns tht 20 yrs from now 'cosmopolitan Hindus' might well be ashamed of Swami Vivekanandahttp://www.opindia.com/2017/09/liberalism-2017-vivekananda-as-sectarian-and-aurangazeb-as-secular/ …,211,7,175
2017-09-14T18:41:13,rahulroushan,Rahul Roushan,Now he'd conclude that the way to a woman's heart is also through stomachhttps://twitter.com/brawling_virago/status/908398223756111873 …,7,1,43
2017-09-14T18:42:19,rahulroushan,Rahul Roushan,It means your bank account is hacked and someone is right now taking out petrol from your car.https://twitter.com/dhanyarajendran/status/908400091009974272 …,125,14,400
2017-09-14T18:47:34,rahulroushan,Rahul Roushan,"But why are you calling yourself a Football Club? I know you put on some weight, but this is unfair.",11,9,83
2017-09-14T18:58:49,rahulroushan,Rahul Roushan,She agreeshttps://twitter.com/UnSubtleDesi/status/908404311469592576 …,0,1,0
2017-09-15T06:08:44,rahulroushan,Rahul Roushan,"inn dono tweets mein Rahul Gandhi ki kya ghalti hai? and Congress is headed by Sonia right now. Just to shield a woman, you badmouth a man ",14,8,97
2017-09-15T06:14:28,rahulroushan,Rahul Roushan,ran out of characters.. but obviously #IStandWithRahulGandhi #forever,0,2,2
2017-09-15T06:16:48,rahulroushan,Rahul Roushan,Nupur is an eleventh wave feminist; she has lost her objectivity after seeing gender everywhere,1,2,5
2017-09-15T06:25:13,rahulroushan,Rahul Roushan,"why laughing shamelessly? even Congress social media head is a woman, but no, you'd rather attack a man.",5,3,23
2017-09-15T14:29:19,rahulroushan,Rahul Roushan,"https://www.scoopwhoop.com/fake-news-the-sulabh-receipt-showing-twitter-posts-of-gst-levied-on-sulabh-facilities-go-viral-turns-out-to-be-fake/#.8drwp4gab … worst part is it was seeded by Sanjiv Bhatt, so criminal to buy that",10,1,10
2017-09-15T14:38:58,rahulroushan,Rahul Roushan,go take bath in some Bangalore lake to wash off your sins,0,1,1
2017-09-15T14:48:16,rahulroushan,Rahul Roushan,"Your faith is insulted, you die and no one cares?
Come, I'll show you Tharoor's shampooed hairshttps://twitter.com/ShashiTharoor/status/908480585168969729 …",0,0,0
2017-09-15T15:15:11,rahulroushan,Rahul Roushan,Kader Khan?,0,3,24
2017-09-15T16:45:09,rahulroushan,Rahul Roushan,And @ARanganathan72 disrobes too many hypocrites in a single article. Too much nudity warninghttps://swarajyamag.com/ideas/whataboutery-from-ambedkar-to-armageddon-principles-and-pitfalls …,830,31,922
2017-09-16T05:23:34,rahulroushan,Rahul Roushan,"Shikaari khud yahaan, shikaar ho gayahttps://twitter.com/moronhumor/status/908775067278077952 …",0,0,0
2017-09-16T05:33:29,rahulroushan,Rahul Roushan,Haha.. Now we have variants of both his first and last names.. Shekhari Coupta,15,7,51
2017-09-16T07:55:33,rahulroushan,Rahul Roushan,"This is seriously stupid. It doesn't cost too much to keep one's mouth shut, but if it's not shut, it can cost quite dearly.https://twitter.com/ShrrinG/status/908960883618889728 …",103,23,151
2017-09-16T08:06:47,rahulroushan,Rahul Roushan,He should send this on Whatsapp to every guy https://twitter.com/rahulroushan/status/894586263872839680 …https://twitter.com/LOLiyapa/status/908963373844389889 …,21,9,40
2017-09-16T08:09:22,rahulroushan,Rahul Roushan,That'd be me (read my bio)https://twitter.com/MrSamratX/status/908965604861739008 …,10,2,53
2017-09-16T08:19:54,rahulroushan,Rahul Roushan,"Be shamelessly unapologetic on ideological issues but treat economic matters with delicacy, but this government is doing just the opposite.https://twitter.com/ANI/status/908952845013073925 …",0,0,0
2017-09-16T08:21:14,rahulroushan,Rahul Roushan,"They meekly rush to issue statements on intolerance and press freedom, and brazenly defend this. Vinash kaale viprit buddhi?",133,14,162
2017-09-16T08:22:57,rahulroushan,Rahul Roushan,"should have said 'cultural' to be precise, but ideology, esp left-right divide in India is all about culture only, not economics.",4,2,19
2017-09-16T08:27:35,rahulroushan,Rahul Roushan,"Okay, Mr. @narendramodi, need your attention. Please get the minister to apologize for his choice of words by 8 PM tonight.https://twitter.com/inileshj/status/908969344280838144 …",121,25,220
2017-09-16T08:30:02,rahulroushan,Rahul Roushan,ah sorry.. should have threatened a hashtag if apology doesn't come by 8 PM.. let's decide,1,2,15
2017-09-16T08:31:44,rahulroushan,Rahul Roushan,"I've no problems with either. I'm a paranoid Hindu who will settle for those to keep libtards out, but there is a threshold nonetheless ",2,0,7
2017-09-16T08:33:03,rahulroushan,Rahul Roushan,this is entirely Congress IT cell level.. kuchh apna bhi standard rakho ,1,1,28
2017-09-16T08:36:10,rahulroushan,Rahul Roushan,"lack of self-respect and civilization death is no alternative anyway. Will vote Congress if they kick out Hinduphobes, till then, BJP ",3,1,7
2017-09-16T08:37:00,rahulroushan,Rahul Roushan,yeh achchha hai.. but spelling mistakes ke bahut chances hain,1,1,5
2017-09-16T08:38:04,rahulroushan,Rahul Roushan,and that guy is in content creation.. it's a big slap.. #ACslapsGappi,2,2,11
2017-09-16T08:39:25,rahulroushan,Rahul Roushan,"then what stops Congress from wooing you? at least realize how much unwanted your life is from both the sides, and hence deactivate.",2,1,8
2017-09-16T08:49:14,rahulroushan,Rahul Roushan,We threaten to trend this hashtag if your minister doesn't say sorry by 8 PM. Mr. @narendramodi you've been warned.https://twitter.com/attomeybharti/status/908973715634794497 …,126,23,159
2017-09-16T09:05:33,rahulroushan,Rahul Roushan,my threshold is 1000%,1,3,18
2017-09-16T09:12:10,rahulroushan,Rahul Roushan,,0,0,1
2017-09-16T09:30:10,rahulroushan,Rahul Roushan,#Mindrocks17 India Today suckshttps://twitter.com/IndiaToday/status/908950021675958272 …,102,12,196
2017-09-16T09:34:21,rahulroushan,Rahul Roushan,Paid India Today trollhttps://twitter.com/JitendraJain_/status/908987144823173120 …,15,2,49
2017-09-16T09:36:49,rahulroushan,Rahul Roushan,"Waise there are some pro-Rampal (not Arjun, but that Sant) tweets under #Mindrocks17 now that can seriously irritate people ",14,5,62
2017-09-16T16:14:42,rahulroushan,Rahul Roushan,I'm not Indian. I'm Paki,2,11,64
2017-09-16T16:56:42,rahulroushan,Rahul Roushan,Declare myself a prophet who could change the biological clockhttps://twitter.com/India_Policy/status/909093787498029056 …,12,5,54
2017-09-16T17:22:21,rahulroushan,Rahul Roushan,"Let's get it right. Left and Right in India is only about cultural issues, not economics. In fact, Modi issues, not even cultural issues. https://twitter.com/GappistanRadio/status/909104589063954432 …",65,14,143
2017-09-16T20:01:00,rahulroushan,Rahul Roushan,Papaji supporters on fire in reply to this tweet https://twitter.com/chintskap/status/909089263844806656 …,42,11,115
2017-09-17T05:57:35,rahulroushan,Rahul Roushan,No cake to celebrate PM's birthday? What kind of criminal waste of IT cell money is that?,3,3,29
2017-09-17T06:02:24,rahulroushan,Rahul Roushan,But an NDTV investigation has found that they are no security threathttps://twitter.com/AskAnshul/status/909130666763153409 …,589,56,815
2017-09-17T06:10:49,rahulroushan,Rahul Roushan,So clean and clear! Taxes on petrol should be tripled so that people can't afford cars and bikes and we get such scenery again.https://twitter.com/IndiaHistorypic/status/909115717248626688 …,64,16,110
2017-09-17T06:49:50,rahulroushan,Rahul Roushan,but roads toh khaali hi honge ,0,1,2
2017-09-17T07:16:44,rahulroushan,Rahul Roushan,hmm.. Hindi TV news pe toh outrage hua tha khoob I guess? (I don't watch enough TV these days btw),1,1,5
2017-09-17T08:24:10,rahulroushan,Rahul Roushan,"If bigotry is sanctioned by Quran, it's fascist to point it out. Legit.https://twitter.com/hemant_balbnker/status/909316976563990528 …",53,2,81
2017-09-17T09:15:02,rahulroushan,Rahul Roushan,"And then insult a group by calling this sloth governance as ""Hindu rate of growth""https://twitter.com/c_aashish/status/909340343404871680 …",110,6,176
2017-09-17T13:23:49,rahulroushan,Rahul Roushan,लगता है पापाजी ने बोला है कि सभी चैनलों पे हनीप्रीत को दिखाओ. जेल में टीवी और डीटीएच मिल गया है https://twitter.com/aajtak/status/909406398160658432 …,36,6,84
2017-09-17T13:55:24,rahulroushan,Rahul Roushan,Special 26 gone wronghttps://twitter.com/ANI/status/909414955497136128 …,52,4,123
2017-09-17T14:03:09,rahulroushan,Rahul Roushan,That's how he became a billionaire https://twitter.com/Dishasatra/status/909412243007086593 …,16,6,87
2017-09-17T14:09:25,rahulroushan,Rahul Roushan,Reason why GDP growth rate slowed,0,2,8
2017-09-17T15:07:56,rahulroushan,Rahul Roushan,"पानी डालो तो चीजें फूलकर बड़ी हो जाती हैं, पर ओवर सूखकर कम हो जाते हैं. क्या साइंस के पास इसका जवाब है?",21,23,90
2017-09-17T15:09:50,rahulroushan,Rahul Roushan,Solvedhttps://twitter.com/sushmitnath/status/909434079078006784 …,4,0,12
2017-09-17T15:11:31,rahulroushan,Rahul Roushan,Libtards will now find that HT article calling her a choker the best article everhttps://twitter.com/Pvsindhu1/status/909432611889541120 …,420,15,859
2017-09-17T15:16:51,rahulroushan,Rahul Roushan,Bumby Ghosh ki jagah isko hire kar lo @htTweetshttps://twitter.com/inikhil_/status/909435364833558528 …,33,2,92
2017-09-17T15:20:52,rahulroushan,Rahul Roushan,Regressive personality who can't be an icon for modern age womenhttps://twitter.com/sambitlnt/status/909436698051751937 …,16,3,51
2017-09-17T16:49:04,rahulroushan,Rahul Roushan,India wins yet another cricket match. Someone check with Ashish Nandy if nationalism is flowing over danger levels yet.,199,13,565
2017-09-17T16:49:47,rahulroushan,Rahul Roushan,Isme kya PTI? TV khol ke dekh lena tha.https://twitter.com/TimesNow/status/909458758618685440 …,18,10,82
2017-09-17T16:59:31,rahulroushan,Rahul Roushan,It's Mamata*,0,1,1
2017-09-17T17:01:51,rahulroushan,Rahul Roushan,All of the above takes away the fun. Remove that and add AAP/Cong/Left parties,2,2,13
2017-09-17T17:03:00,rahulroushan,Rahul Roushan,pic.twitter.com/N0liIfXdis,0,0,3
2017-09-17T17:12:35,rahulroushan,Rahul Roushan,Condemn such tweetshttps://twitter.com/WeDeeptiSumit/status/909444783302623233 …,45,11,86
2017-09-17T17:56:31,rahulroushan,Rahul Roushan,Those who think NDTV journos fighting with Congis mean something should note that I've fought with @doubtinggaurav all day calling him names,23,5,64
2017-09-17T17:57:58,rahulroushan,Rahul Roushan,Actually that's true. I'm genuinely pissed off with him,1,1,3
2017-09-17T17:58:35,rahulroushan,Rahul Roushan,He DMd me to teach this guy a lesson,1,2,3
2017-09-17T18:02:29,rahulroushan,Rahul Roushan,इकोसिस्टम के पाले पोसे लोग कभी तो दुलत्ती मारेंगे ही. छटपटाहट अच्छी हैhttps://twitter.com/akhileshsharma1/status/909453828663083009 …,74,7,159
2017-09-17T18:13:34,rahulroushan,Rahul Roushan,"The ""moderates"" have quoted Quran itself to justify their comment. Hadith tak jaane ki zarurat nahi hai",12,1,38
2017-09-17T18:14:55,rahulroushan,Rahul Roushan,https://twitter.com/hemant_balbnker/status/909316976563990528 …,6,5,15
2017-09-17T19:20:25,rahulroushan,Rahul Roushan,2019 is gonehttps://twitter.com/VishakhaJ18/status/909496577869406213 …,7,2,38
2017-09-17T19:25:14,rahulroushan,Rahul Roushan,Legit. I support this demandhttps://twitter.com/thecyberbully13/status/909498114116956160 …,17,3,81
2017-09-17T19:27:02,rahulroushan,Rahul Roushan,Every birthday Modiji follows new handles it seems. He should unfollow a few handles on Rahul Gandhi's birthday.,46,5,183
2017-09-17T19:30:01,rahulroushan,Rahul Roushan,What thank you? What's so great? Were I not following you earlier?,0,2,2
2017-09-17T19:31:02,rahulroushan,Rahul Roushan,NDTV interns are right now trying to find some abusive tweets by this chap.https://twitter.com/c_aashish/status/909488066070421505 …,32,3,86
2017-09-17T19:33:21,rahulroushan,Rahul Roushan,Modi follows handles that have no respect for transparency,0,0,1
2017-09-17T19:37:43,rahulroushan,Rahul Roushan,"I'd suggest NDTV to find out caste break up of new handles followed by PM. Put Ravish Kumar, not any intern, on this great job.",66,8,232
2017-09-17T19:39:07,rahulroushan,Rahul Roushan,Aashish is Parsi,0,0,1
2017-09-17T19:42:27,rahulroushan,Rahul Roushan,That's the spirit https://twitter.com/attomeybharti/status/909502670020292608 …,50,5,163
2017-09-17T19:45:30,rahulroushan,Rahul Roushan,Ashleel. This is why Modiji doesn't follow youhttps://twitter.com/GappistanRadio/status/909503287266889728 …,4,5,51
2017-09-17T19:52:53,rahulroushan,Rahul Roushan,He's busy following trolls like @c_aashish,0,1,0
2017-09-17T20:13:21,rahulroushan,Rahul Roushan,Nice! Itne achche kaam na karo ki hum useless feel kar ke depress ho jaayein ,2,3,53
2017-09-18T06:01:51,rahulroushan,Rahul Roushan,No. You need to pitch inhttps://twitter.com/EconomicTimes/status/909658243881996288 …,114,18,298
2017-09-18T06:04:51,rahulroushan,Rahul Roushan,Rahul ji was there too. UP ke ladkehttps://twitter.com/mun1shsharma/status/909658949841854464 …,5,4,22
2017-09-18T06:06:33,rahulroushan,Rahul Roushan,https://twitter.com/sambitlnt/status/909659487585304576 …,2,2,16
2017-09-18T13:02:05,rahulroushan,Rahul Roushan,India for anyone who can provide cheap petrol,0,3,14
2017-09-18T14:43:15,rahulroushan,Rahul Roushan,This is second time for @Raghav_Bahl There was a response in earlier case though http://www.opindia.com/2017/03/man-who-wanted-pm-modis-assassination-now-an-author-at-the-quint/ …https://twitter.com/RohitBJP/status/909748629887262725 …,91,2,61
2017-09-18T14:46:22,rahulroushan,Rahul Roushan,"HT Editor post is vacant, so an ex-editor has suddenly found that RaGa is not so bad : sources",170,19,420
2017-09-18T15:18:31,rahulroushan,Rahul Roushan,"Now that it's known on Twitter, there will be willing candidates. Trolls, please tag them. 
Anyone tagging me will be neutralized by Armyhttps://twitter.com/IndianExpress/status/909792629168103424 …",59,11,129
2017-09-18T15:20:42,rahulroushan,Rahul Roushan,"Oh sure, in fact, that's desirable qualification .. wait a minute, Bumby Ghosh quit to take up this job?https://twitter.com/SavarnanOne/status/909799141747834880 …",14,4,50
2017-09-18T15:24:15,rahulroushan,Rahul Roushan,choker tha woh?,0,1,0
2017-09-18T15:38:38,rahulroushan,Rahul Roushan,Poll: NDTV has been brought (recently and literally) by,95,32,67
2017-09-18T15:39:14,rahulroushan,Rahul Roushan,*bought,2,6,7
2017-09-18T15:43:54,rahulroushan,Rahul Roushan,इसका मतलब समझे दया?https://twitter.com/smarket/status/909804632897187840 …,5,4,19
2017-09-18T16:19:15,rahulroushan,Rahul Roushan,"Prove he said it. If you don't put a video by 10 PM, I'll file a criminal defamation case in Republic.",35,18,201
2017-09-18T17:33:22,rahulroushan,Rahul Roushan,I can bet that his career just got a boost. Only Quint has blinked. Others will over compensate.https://twitter.com/UnSubtleDesi/status/909821257289363456 …,172,19,345
2017-09-18T18:21:39,rahulroushan,Rahul Roushan,hai toh woh MCD wala mountain Ghaziabad ki taraf,0,1,1
2017-09-18T19:28:50,rahulroushan,Rahul Roushan,No. It stands for Naive due to tweets like yours. Naive Dreams of Twitter Villagers,2,3,31
2017-09-18T19:40:35,rahulroushan,Rahul Roushan,Can you teach some sense and techniques to this pachyderm @doubtinggaurav?,0,1,5
2017-09-19T04:58:31,rahulroushan,Rahul Roushan,"This is speech for Libtards, just like wishing death to people.https://twitter.com/ShefVaidya/status/909397151670706178 …",38,4,49
2017-09-19T05:02:44,rahulroushan,Rahul Roushan,They know it. And it's not free speech that they care for; they never cared. It's about having absolute control on platforms.https://twitter.com/YearOfRat/status/910004805413642240 …,54,4,64
2017-09-19T05:28:10,rahulroushan,Rahul Roushan,Taking such idealistic stand when the other side will be content no less than dancing on your dead body sets worse example.https://twitter.com/bhak_sala/status/910009594717573122 …,320,24,475
2017-09-19T05:31:15,rahulroushan,Rahul Roushan,It's not about free or hate or this or that speech. It's about consequences and balance of power.https://twitter.com/GappistanRadio/status/910006609492959234 …,42,8,77
2017-09-19T05:32:05,rahulroushan,Rahul Roushan,But a suicidal race will never be able to see thathttps://twitter.com/sambitlnt/status/910013032889245697 …,28,1,43
2017-09-19T05:35:23,rahulroushan,Rahul Roushan,Tragicomic thing is that that guy will get even better business from fellow hatemongers now. Balance of power is too skewed to even begin..,29,3,62
2017-09-19T05:42:55,rahulroushan,Rahul Roushan,I just mean that hatemongers are too strong and have a mafia like control. Just don't feel victorious or think them as victim.https://twitter.com/Atheist_Krishna/status/910015808083865600 …,34,2,64
2017-09-19T06:03:37,rahulroushan,Rahul Roushan,"This is fucking irritating. Don't even compare. He is going to be mighty rewarded, his cockiness proves it. Compare how you had to reacthttps://twitter.com/bhak_sala/status/910012670547578885 …",127,10,193
2017-09-19T06:05:16,rahulroushan,Rahul Roushan,"He is unapologetic and proudly holding on to his hate, and yet you paint him as some victim. This requires unimaginable level of naivety!",120,21,243
