timestamp,user,fullname,text,retweets,replies,likes
2017-09-15T03:01:42,rajeevk48,RajeevKushwaha#BMJ,लेकिन काफिरो याद रखना आतंकबाद का कोई मजहब नहीं होता और इस्लाम शांति का सन्देश देता है.https://twitter.com/News18India/status/908525551815553024 …,150,4,118
2017-09-15T07:02:05,rajeevk48,RajeevKushwaha#BMJ,"लव जिहाद को RSS का प्रोपेगंडा बताने बाले जय भीम भाइयो की लव जिहाद से फटी पड़ी है.
तो जोड़ से बोलो जय भीम जय मीम.https://www.google.co.in/amp/www.india.com/news/india/love-jihad-allegation-sparks-communal-tension-between-buddhists-and-muslims-in-ladakh-2464869/amp/ …",145,4,97
2017-09-15T10:48:27,rajeevk48,RajeevKushwaha#BMJ,धन्यबाद भाई,1,0,0
2017-09-15T10:48:46,rajeevk48,RajeevKushwaha#BMJ,धन्यबाद भाई,2,0,0
2017-09-15T10:53:15,rajeevk48,RajeevKushwaha#BMJ,धन्यबाद भाई,1,0,1
2017-09-15T13:04:26,rajeevk48,RajeevKushwaha#BMJ,,0,0,0
2017-09-15T13:37:17,rajeevk48,RajeevKushwaha#BMJ,"एकता देख कर जेहादी @MamataOfficial ने अपने कदम बापस खिचे,अब10बजे तक होगा बिसर्जन.
सही जा रहे हो बंगाल के हिन्दुओ.https://goo.gl/NYr6M4 ",327,31,386
2017-09-15T13:39:38,rajeevk48,RajeevKushwaha#BMJ,,1,1,2
2017-09-16T03:33:31,rajeevk48,RajeevKushwaha#BMJ,"सुनो सोशल मीडिया के ज्ञानियो जो शक्श बिना मुस्लिमो के वोट के13सालCMऔर अब PM रहा हो वो मुस्लिमो के वोट के लिए मस्जिद जायेगा?
कभी नहीं.",235,15,386
2017-09-16T03:38:53,rajeevk48,RajeevKushwaha#BMJ,मैं आपको फॉलो कब करता था?,0,2,1
2017-09-16T03:45:22,rajeevk48,RajeevKushwaha#BMJ,"क्या आपने अपना नाम ID चेंज किया है?
अगर हाँ तो पहले किस नाम से था?",0,1,1
2017-09-16T04:48:40,rajeevk48,RajeevKushwaha#BMJ,@IntolerantMano2 ,1,2,0
2017-09-16T05:03:15,rajeevk48,RajeevKushwaha#BMJ,"अगर2-4लोग आप पे भरोसा नहीं करते तो आप उनसे बातकरे
अगर ज्यादातर लोग आपपे भरोसा नहीं करते तो आप खुद से बातकरे.
इस बात को मुस्लिमो से न जोड़े.",146,1,110
2017-09-16T06:09:31,rajeevk48,RajeevKushwaha#BMJ,,0,0,0
