timestamp,user,fullname,text,retweets,replies,likes
2017-09-16T15:57:13,saffron_lioness,【SUNITA】【DIXIT】,,0,0,0
2017-09-16T16:52:07,saffron_lioness,【SUNITA】【DIXIT】,,0,0,0
2017-09-16T16:52:34,saffron_lioness,【SUNITA】【DIXIT】,,1,1,2
2017-09-17T03:49:43,saffron_lioness,【SUNITA】【DIXIT】,,0,1,0
2017-09-17T03:55:15,saffron_lioness,【SUNITA】【DIXIT】,कोण,1,1,0
2017-09-17T03:57:26,saffron_lioness,【SUNITA】【DIXIT】,,0,0,0
2017-09-17T03:59:37,saffron_lioness,【SUNITA】【DIXIT】,जी ज़रूर,1,0,0
2017-09-17T04:04:14,saffron_lioness,【SUNITA】【DIXIT】,"@narendramodi many many happy returns of the day modi ji god bless you
 #HappyBirthdayPMpic.twitter.com/EtAzQKEc2W",29,3,21
2017-09-17T05:50:05,saffron_lioness,【SUNITA】【DIXIT】,"खिडकी से देखा तो रस्ते पे कोई नही था
खिडकी से देखा तो रस्ते पे कोई नही था
वाह वाह वाह
फिर रस्ते पे जाके देखा तो खिडकी मै कोई नही था",51,10,116
2017-09-17T05:51:14,saffron_lioness,【SUNITA】【DIXIT】,"हर गम को पाला नही जाता
काँच की चीज़ों को उछाला नही जाता
कुछ करना है तो मेहनत करो
हर बात को
‘ऑल इस वेल’
कहकर टाला नही जाता
",60,8,60
2017-09-17T05:53:20,saffron_lioness,【SUNITA】【DIXIT】,"बेझिझक मुस्कुराये जो भी गम है
जिंदगी में टेंशन किसको कम है
अच्छा या बुरा तो केवल भ्रम है
जिंदगी का नाम ही
""कभी ख़ुशी कभी गम""
है।",48,1,36
2017-09-17T05:56:07,saffron_lioness,【SUNITA】【DIXIT】,"शायर घरमे पत्नीkसाथ बैठाहै
GFका मिसकॉल आताहै
शायरकाGFको शायरीमे जवाब
हवाकी लहरे बनkमेरी खिड़की मत खटखटा
मैे बंद खिड़कीमे बवंडर संभालk बैठाहू",46,0,46
2017-09-17T05:57:06,saffron_lioness,【SUNITA】【DIXIT】,,1,1,0
2017-09-17T06:24:45,saffron_lioness,【SUNITA】【DIXIT】,,0,0,0
2017-09-17T06:25:46,saffron_lioness,【SUNITA】【DIXIT】,"बदलना चाहते हो
तो शौक से बदलो
मगर इतना याद रखना
जो हम बदले
तो करवटें बदलते
रह जाओगे",55,6,71
2017-09-17T06:26:24,saffron_lioness,【SUNITA】【DIXIT】,"तुम ज़िंदगी में
आ तो गए हो
मगर इतना याद रखना
हम जान दे देते हैं
मगर जाने नहीं देते",69,10,71
2017-09-17T07:52:32,saffron_lioness,【SUNITA】【DIXIT】,Jai shri krishna,0,0,1
2017-09-17T08:00:46,saffron_lioness,【SUNITA】【DIXIT】,"तुम जो आए ज़िन्दगी की वाट लग गई
राशनकार्ड मेरा मज़हब राशनकार्ड मेरी ज़ात बन गई
Rt: @ArvindKejriwalpic.twitter.com/Ris9UtHRzw",149,14,171
2017-09-17T08:05:31,saffron_lioness,【SUNITA】【DIXIT】,,0,0,0
2017-09-17T11:37:36,saffron_lioness,【SUNITA】【DIXIT】,तेरी बाते सुनकर तो यही लगता है कि विदेशीबारबाला ने तेरे जैसे चूतिया को अपना भक्त बना लिया और तूने भी सोनियागांधी को ही चूतिया बना दियाpic.twitter.com/RJ4Mokuoji,158,9,181
2017-09-17T15:36:03,saffron_lioness,【SUNITA】【DIXIT】,LOL,1,0,1
2017-09-17T15:36:42,saffron_lioness,【SUNITA】【DIXIT】,,0,1,0
2017-09-17T16:08:31,saffron_lioness,【SUNITA】【DIXIT】,छी कितना गंदा लग रहा सुअर ,2,0,2
2017-09-17T16:24:04,saffron_lioness,【SUNITA】【DIXIT】,"@ArvindKejriwal : डॉक्टर मेरा ख़ून निकालने में इतना टाइम क्यों लगा

DOCTOR:सड़ जी मैं क्या करता
पहले 45मिनट सिर्फ रायता निकला

pic.twitter.com/BTfla10ci4",103,6,66
2017-09-17T16:33:45,saffron_lioness,【SUNITA】【DIXIT】,,0,0,0
2017-09-17T16:34:18,saffron_lioness,【SUNITA】【DIXIT】,Aisa kyu likha bhaiya aap,0,1,0
2017-09-17T16:36:46,saffron_lioness,【SUNITA】【DIXIT】,Kuch na,0,0,0
2017-09-17T16:39:06,saffron_lioness,【SUNITA】【DIXIT】,,0,1,0
2017-09-17T16:55:04,saffron_lioness,【SUNITA】【DIXIT】,,0,0,1
2017-09-18T02:05:21,saffron_lioness,【SUNITA】【DIXIT】,100%true,0,0,0
2017-09-18T02:12:27,saffron_lioness,【SUNITA】【DIXIT】,,1,1,1
2017-09-18T02:24:58,saffron_lioness,【SUNITA】【DIXIT】,हा हा जहाँपनाह ! तोहफा कबूल हो गया चूसे आम @meamabhishek को  शेखसाहब @digvijaya_28 काली चिड़िया दिखाने दीवाने खास में में लेकर जाते हुएpic.twitter.com/2llQMSiNIE,215,32,263
2017-09-18T02:47:21,saffron_lioness,【SUNITA】【DIXIT】,,3,0,0
2017-09-18T02:53:02,saffron_lioness,【SUNITA】【DIXIT】,@BHUPENNDER congratulations bhupi ताऊ for 26k followers pic.twitter.com/RKNiMxMLib,59,16,21
2017-09-18T02:54:52,saffron_lioness,【SUNITA】【DIXIT】,,2,0,1
2017-09-18T04:18:38,saffron_lioness,【SUNITA】【DIXIT】,,0,0,1
2017-09-18T04:22:59,saffron_lioness,【SUNITA】【DIXIT】,,3,1,2
2017-09-18T04:24:44,saffron_lioness,【SUNITA】【DIXIT】,,1,0,1
2017-09-18T04:30:44,saffron_lioness,【SUNITA】【DIXIT】,"उनकी दीवानगी की कोई हद्द नही
उनकी सूरत के सिवा कुछ याद नही
वो कहते है मुझसे

मैं हूँ फूल तेरे गुलशन का
तेरे सिवा मुझपर किसी का हक नहीं।",30,3,27
2017-09-18T04:31:25,saffron_lioness,【SUNITA】【DIXIT】,"दिल के पास  आपका घर बना लिया 
ख्वाबों में आपको बसा लिया
मत पूछो कितना चाहते है आपको
आपकी हर खता को अपना मुक्कद्दर बना लिया",26,1,26
