timestamp,user,fullname,text,retweets,replies,likes
2017-09-16T07:45:19,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"नई पौध के दौर में, 
मर्यादा यूँ ढेर l
राह राम की तक रहे, 
फिर शबरी के बेर l",34,1,37
2017-09-16T07:49:28,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"ऐसे ना मुझे तुम देखो
GST लगा दूंगा..
पैसे भी चुरा लूंगा तुमसे
Tax भी लगा दूंगा
दोस्तों, जरा इस गाने के गीतकार और संगीतकार का नाम बताइये ?",51,20,101
2017-09-16T07:58:06,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"काश मोदी जी PM होते तो आज भारत की जनता पर पेट्रोल और डीजल का इतना बोझ नही पड़ता !!!
@narendramodipic.twitter.com/Qgtw7KAN4T",77,17,86
2017-09-16T09:28:49,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"मुर्गा पार्टी का अर्थ मुर्गा मार कर पार्टी करना

""मटन पार्टी"" का अर्थ बकरा मार कर पार्टी करना

भारतीय जनता पार्टी""का अर्थ तो समझ गये होंगे?",46,19,81
2017-09-16T09:41:20,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,हद है भक्तो का कहना है कि बुलेट ट्रेन के बोनट पे जो जगह है वो मेजर गंगोई के कहने पे रखी गयी है,22,1,27
2017-09-16T10:15:02,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"दो विचारधारा है देश मे ,शांतिदूत रोहिग्या का समर्थन इसलिए कर रहे है क्योंकि उनकी  बिरादरी है ..लिबरान्डू इसलिय कर रहे की वोट बैक बड़ेगा",76,3,100
2017-09-16T11:23:35,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,कहा ,0,1,2
2017-09-16T11:25:16,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,दुग्गलवा दिखा नही आज,0,2,1
2017-09-16T11:30:56,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,,0,0,1
2017-09-16T11:50:04,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"मुन्ना विकास चाहिए कि नहीं???

अभी आपका विकास हमारे कब्ज़े में है

मूल्य वृद्धि,GST, नोटबंदी झेलो

नहीं तो विकास की जान से हाथ धोना पड़ेगा।",42,2,65
2017-09-16T13:24:50,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,मोदीराज में जॉब सिक्युरिटी ही नहीं है पाक 6-6 महीने ट्रेनिंग देकर आतंकवादी बनाता है और भारतीय सेना उन्हें देखते ही पेल देती है....!!!,55,4,106
2017-09-16T13:29:40,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"महँगा पेट्रोल- डीजल खरीदने वाले भूखे तो नहीं मर रहे न : अल्फोंस

भूखे मारने का प्लान है के??https://twitter.com/aajtak/status/908964946754510853 …",47,5,30
2017-09-16T13:31:12,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,2 गुड़ यार ,0,1,0
2017-09-16T13:34:05,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,अबार कोणी,0,0,2
2017-09-16T13:35:35,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"केजरीवाल - मैं मोदी कहूँगा....

कपिल मिश्रा  - मैं बोलने ही नहीं दूँगा ",15,0,35
2017-09-16T13:36:48,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"राहुल बाबा ने कहा.... मैं प्रधानमंत्री बनने को तैयार हूँ..

तैयार तो मैं भी हूँ पगले .... पर हमें बना कौन रहा है.. ??? ",38,2,43
2017-09-16T13:48:28,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,सुपर्ब कहा से कॉपी मारी,1,1,0
2017-09-16T13:49:43,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,रुक अभी लाता हु तेरे लिए,1,1,1
2017-09-16T13:51:34,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,ऑक्स माफ किया,1,1,0
2017-09-16T14:01:14,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"लड़का - क्या क्या कर लेती हो पूनम ?

पूनम - ट्विटर पर दुनिया भर की पंचायत कर लेती हु जी।
@Me_poO11",16,3,15
2017-09-16T14:56:51,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"यूपी की नई धमकी 

""बेटा ऐसा मुह तोड़ेंगे की ज़िंदगी भर तुमरा आईफूनवा लॉक रहेगा !",34,2,63
2017-09-16T15:17:00,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,ओक ,0,0,1
2017-09-16T18:53:57,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,Many many happy returns day..and a very happy birthday to uncle ,2,1,0
2017-09-16T19:06:40,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"भारत के यशस्वी प्रधानमंत्री श्री Narendra Modi जी को जन्मदिवस की हार्दिक शुभकामनाएं 
#happybirthdaypm
@narendramodipic.twitter.com/JkYKQrPJhd",70,5,88
2017-09-16T19:09:21,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,आज नाही,0,1,0
2017-09-17T03:27:28,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,सुप्रभात ... जय श्री राम ... वंदे मातरम  .,7,0,10
2017-09-17T03:36:22,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,मैं तो अपने पैसे एक दिन में ही दुगने कर लेता हूँ सुबह 500/- रुपये श्रीमती जी को देता हूँ ओर शाम को श्रीमती जी 1000/- का हिसाब दे देती हैं..,27,3,24
2017-09-17T03:41:10,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"जन्मदिन की बहुत बहुत बंधाई फातू खुश रहो मुस्कराती रहो 
@FatimaKolyari",7,1,7
2017-09-17T03:52:58,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"आज प्रधान सेवक जी का जन्मदिन है आशा है आज के दिन आम जनता का केक नही काटा जायेगा 
#HappyBirthdayPM",18,4,59
2017-09-17T03:53:36,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"लड़का और लड़की अच्छे दोस्त सिर्फ तब तक रहते है जब तक लड़के को मौका नही मिलता

#Fact",18,1,43
2017-09-17T03:59:45,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,हमको नाही चाहीये fb ,1,1,0
2017-09-17T04:04:45,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"कुछ बुद्धिजीवी वर्ग #रोहिंग्या_मुसलमानों को रखने की हिमायत कर रहे हैं! जिनकी कालोनियो के गेट पर लिखा रहता हैं ""ये आम रास्ता नहीं है""?",38,4,41
2017-09-17T04:09:58,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"Shinzo Abe
हम आये है उस शहर का नाम क्या है ?

मोदीजी:- Ahmedabad

Shinzo Abe:- पर पूरे शहर में बोर्ड पे तो शहर का नाम
Oppo-Vivo लिखा है !",48,7,106
2017-09-17T04:11:00,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"ये आजकल की लड़कियां 
अपने व्हाट्सऐप ग्रुप में तो हर तरह के जोक और वीडियो शेयर करती है
और हम अगर कुछ हल्का सा भी अश्लील भेज दे तो लड़ती है
",16,3,37
2017-09-17T04:14:49,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,सही है ,0,0,0
2017-09-17T04:18:27,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,ऑक्स अंकल https://twitter.com/ALONE_HERO_TMG/status/909269814698418176 …,0,0,0
2017-09-17T04:19:11,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"इतना दुःख कभी नही होता साहब

जितना ऑफिस आके

पैंट की ज़िप बिगड़ जाने में होता है
#Facts",28,6,48
2017-09-17T04:20:04,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,कल मन की बात मे बोला जायेगा,0,0,1
2017-09-17T04:45:14,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"जब से मोदी सरकार आई है तब से आतंकवादी खत्म हो रहे है, इसलिये कांग्रेस परेशान है.

और

कांग्रेस खत्म हो रही है इसलिये आतंकवादी परेशान हैं.",126,8,221
2017-09-17T04:59:11,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"भारत भाग्य विधाता, 
विश्व सम्राट, 
आदरणीय प्रधानसेवक श्री नरेन्द्र भाई मोदीजी को जन्मदिवस की हार्दिक शुभकामनाएं, अभिनंदन, बधाई..pic.twitter.com/JyG7rt9p8R",53,3,71
2017-09-17T05:03:00,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"#दुगगल_चाचा  अफवाह फैला रहा है की आज के सर्वश्रेष्ठ बधाई के 10 संदेश प्रेसित करने वाले भक्तो को फौलोबैक से प्रसाद मिलेगा 
",12,1,16
2017-09-17T05:39:10,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"तू किसी बुलेट ट्रेन सी गुजरती है
मैं 'लोकल' सा पटरी से उतर जाता हूँ

दुष्यंत कुमार से क्षमा ",16,0,32
2017-09-17T05:41:03,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,"मोदी जी बुलेट ट्रेन में जनरल के डिब्बे आगे लगेंगे कि पीछे ?
मने पूछ रहे है
#HappyBirthdayPM",20,8,39
2017-09-17T05:43:09,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,लभली सुबह ,1,1,2
2017-09-17T05:47:08,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,सुनो बेगम पेट्रोल से ज्यादा तो तेरे भाव बढ गये ,2,1,10
2017-09-17T05:50:13,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,जुमलो और लंबी दुरी तक फेकने के बादशाह माननीय मोदी जी को जन्मदिन की ढेर सारी शुभकामनाएं ,14,8,33
2017-09-17T05:52:13,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,,0,0,1
2017-09-17T05:53:53,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,आज के देरी केनो,0,1,1
2017-09-17T05:55:51,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,लाओ अब नाश्ता कराओ,0,1,1
2017-09-17T05:57:31,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,और कोई बहाना दो म्हणे सब बेरो है,0,0,1
2017-09-17T05:57:56,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,लो जी अब तो लाओ कुछ ,0,1,2
2017-09-17T05:59:34,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,म्हारा से कोई दुश्मनी थी के,0,3,2
2017-09-17T06:00:07,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,हम तो घर गए थे खाने पता है ,0,0,2
2017-09-17T06:01:24,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,थंक्स जी ,0,1,3
2017-09-17T06:05:22,shuklapinku,पिंकू शुक्ला ‏ 🇮🇳,हस लो भाई https://twitter.com/nikhjosh_/status/909297098885038080 …,0,0,1
